time,Ft
0,0
0.002,-0.314153523487374
0.004,-0.628272596500709
0.006,-0.942322772343849
0.008,-1.25626961187599
0.01,-1.57007868728832
0.012,-1.8837155858794
0.014,-2.19714591382895
0.016,-2.51033529996946
0.018,-2.82324939955543
0.02,-3.1358538980296
0.022,-3.448114514786
0.024,-3.75999700692913
0.026,-4.07146717302913
0.028,-4.38249085687235
0.03,-4.69303395120693
0.032,-5.00306240148307
0.034,-5.3125422095875
0.036,-5.62143943757174
0.038,-5.92972021137379
0.04,-6.23735072453278
0.042,-6.54429724189628
0.044,-6.85052610331968
0.046,-7.15600372735743
0.048,-7.46069661494565
0.05,-7.76457135307563
0.052,-8.06759461845798
0.054,-8.36973318117688
0.056,-8.67095390833415
0.058,-8.97122376768261
0.06,-9.27050983124843
0.062,-9.5687792789421
0.064,-9.8659994021575
0.066,-10.1621376073587
0.068,-10.4571614196545
0.07,-10.751038486359
0.0720000000000001,-11.0437365805403
0.0740000000000001,-11.335223604554
0.0760000000000001,-11.6254675935631
0.0780000000000001,-11.9144367190434
0.0800000000000001,-12.202099292274
0.0820000000000001,-12.488423767812
0.0840000000000001,-12.7733787469522
0.0860000000000001,-13.0569329811698
0.0880000000000001,-13.3390553755478
0.0900000000000001,-13.6197149921864
0.0920000000000001,-13.8988810535959
0.0940000000000001,-14.1765229460716
0.0960000000000001,-14.4526102230515
0.0980000000000001,-14.7271126084542
0.1,-15
0.102,-15.2712424725111
0.104,-15.5408102811939
0.106,-15.8086738649003
0.108,-16.0748038493699
0.11,-16.3391710504508
0.112,-16.6017464773003
0.114,-16.8625013355639
0.116,-17.121407030533
0.118,-17.3784351702804
0.12,-17.6335575687742
0.122,-17.8867462489685
0.124,-18.1379734458713
0.126,-18.3872116095893
0.128,-18.6344334083493
0.13,-18.8796117314951
0.132,-19.1227196924607
0.134,-19.3637306317185
0.136,-19.6026181197032
0.138,-19.8393559597096
0.14,-20.0739181907658
0.142,-20.3062790904798
0.144,-20.5364131778607
0.146,-20.7642952161122
0.148,-20.989900215401
0.15,-21.2132034355964
0.152,-21.4341803889841
0.154,-21.6528068429509
0.156,-21.8690588226424
0.158,-22.082912613592
0.16,-22.2943447643218
0.162,-22.5033320889138
0.164,-22.7098516695527
0.166,-22.9138808590393
0.168,-23.1153972832737
0.17,-23.3143788437091
0.172,-23.5108037197752
0.174,-23.7046503712707
0.176,-23.8958975407259
0.178,-24.0845242557334
0.18,-24.2705098312484
0.182,-24.4538338718566
0.184,-24.6344762740111
0.186,-24.8124172282369
0.188,-24.987637221303
0.19,-25.1601170383627
0.192,-25.3298377650605
0.194,-25.4967807896059
0.196,-25.6609278048152
0.198,-25.8222608101183
0.2,-25.9807621135332
0.202,-26.1364143336057
0.204,-26.2892004013159
0.206,-26.4391035619498
0.208,-26.5861073769365
0.21,-26.730195725651
0.212,-26.8713528071824
0.214,-27.0095631420658
0.216,-27.1448115739806
0.218,-27.2770832714121
0.22,-27.406363729278
0.222,-27.5326387705194
0.224,-27.655894547655
0.226,-27.7761175442999
0.228,-27.8932945766476
0.23,-28.0074127949161
0.232,-28.1184596847568
0.234,-28.2264230686268
0.236,-28.3312911071244
0.238,-28.4330523002876
0.24,-28.5316954888546
0.242,-28.6272098554883
0.244,-28.719584925962
0.246,-28.8088105703083
0.248,-28.8948770039298
0.25,-28.9777747886721
0.252,-29.0574948338589
0.254,-29.1340283972891
0.256,-29.2073670861948
0.258,-29.2775028581624
0.26,-29.3444280220142
0.262,-29.4081352386517
0.264,-29.4686175218607
0.266,-29.5258682390773
0.268,-29.5798811121152
0.27,-29.6306502178541
0.272,-29.6781699888897
0.274,-29.7224352141433
0.276,-29.7634410394343
