time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,2.87342664108319e-14,0,2.74847341860695e-14,6.87512569311183e-09,2.56404818670249e-14,1.25105679412753e-08,5.17174503216888e-14,2.23256618738102e-08,2.35076137084707e-14,1.68304143040149e-08,7.72520062993759e-14,3.65985001182323e-08,2.80343511968728e-14,9.19796683023671e-09,1.06615281012411e-13,3.42311916845086e-08,2.41969867343453e-14,-1.79768345956051e-08,9.62455184953718e-14,-8.96582583382679e-09,-7.61463810425449e-14,-7.38171658327979e-08,-1.4893480857881e-13,-1.24258797912549e-07,-4.86536746397726e-13,-1.61576180417684e-07,-1.04490452799028e-12,-3.37502115278766e-07,-1.36599721964878e-12,-2.6409054001165e-07,-2.84536819725449e-12,-6.38281825024335e-07,-2.07779463460521e-12,-3.21876518735659e-07
0.004,0,0,6.60511101372914e-13,0,5.99567972829163e-13,4.68396510173935e-08,5.23652598282072e-13,8.02150873850667e-08,1.11095017025181e-12,1.32895835278081e-07,5.38117300854647e-13,7.7588589750963e-08,1.73789854998049e-12,1.71720795357867e-07,6.68677116673197e-13,-1.59959357495499e-08,2.14981630657192e-12,6.74638340302872e-08,-1.73942506169235e-13,-2.0943733529767e-07,3.27195305238853e-13,-2.78944802271846e-07,-4.20591215367368e-12,-4.97077315539833e-07,-8.0357096807655e-12,-9.45242462309668e-07,-1.33630776187363e-11,-8.38669351690257e-07,-2.75901599031149e-11,-1.94510797275649e-06,-2.5748263370267e-11,-1.14512547585745e-06,-5.78215650118556e-11,-3.17918313315633e-06,-3.29056866779148e-11,-1.28189515909074e-06
0.006,0,0,3.1454249417228e-12,0,2.84423881321539e-12,1.02625748111227e-07,2.54370637672078e-12,1.61018990892028e-07,5.57993239654901e-12,2.34509712271769e-07,3.00712005228671e-12,5.99660076369042e-08,8.33409859851357e-12,1.41234642416995e-07,1.52727831322825e-12,-2.84071786406511e-07,5.16579555239862e-12,-3.99092561786666e-07,-1.03604306157744e-11,-8.23247861884117e-07,-1.85897549671408e-11,-1.54282787264987e-06,-4.0365476424195e-11,-1.47403072348468e-06,-8.14943091139194e-11,-3.34615217783941e-06,-8.73772450935912e-11,-2.12113933801258e-06,-1.94280496008105e-10,-5.73858169551398e-06,-1.36580963092995e-10,-2.6281102305618e-06,-3.46460024201349e-10,-8.50383084993298e-06,-1.61198361829455e-10,-2.83804628385907e-06
0.008,0,0,6.55701867223367e-12,0,6.54573993115332e-12,3.00864622880748e-08,6.48872230386253e-12,-9.14414890650928e-10,1.24315019912488e-11,-1.21233277504497e-07,3.94742148353042e-12,-3.5877777094302e-07,9.22835415541668e-12,-7.91809981171668e-07,-1.46128013959095e-11,-1.02815074905987e-06,-2.83721140423602e-11,-2.25223960845406e-06,-6.74570391860368e-11,-1.92051550994484e-06,-1.40674728799321e-10,-4.66663400743554e-06,-1.64094178819897e-10,-2.91347789337607e-06,-3.67956291788537e-10,-8.06380107761807e-06,-2.93413250285091e-10,-3.85931567710254e-06,-7.26074084580476e-10,-1.23111579380903e-05,-4.17285907428266e-10,-4.58163952471695e-06,-1.18032452832071e-09,-1.7083226547284e-05,-4.74931287729903e-10,-4.87193868747273e-06
0.01,0,0,1.43145631686358e-11,0,1.25637093879513e-11,-2.64419764681136e-07,8.0208058837489e-12,-5.67982367455319e-07,8.00024492535525e-12,-1.21374864639906e-06,-2.29875033856205e-11,-1.36896824892144e-06,-4.86907355962258e-11,-3.07580402601714e-06,-9.99241994546963e-11,-2.38929253324111e-06,-2.14285310720097e-10,-6.05127500823369e-06,-2.43472671762171e-10,-3.58465105754871e-06,-5.60575388873987e-10,-1.02719511248696e-05,-4.60063874429638e-10,-4.85833168433107e-06,-1.15060348251397e-09,-1.57413092917019e-05,-7.22829506741444e-10,-6.05032935334608e-06,-1.9984009399608e-09,-2.22749708315746e-05,-9.60473854045342e-10,-6.94846077278539e-06,-3.02816407258221e-09,-2.94590862538241e-05,-1.06845230176876e-09,-7.3079301999269e-06
0.012,0,0,3.37427733804207e-11,0,2.09736892962926e-11,-6.94305429514665e-07,-5.46850464038456e-12,-1.402702268893e-06,-4.03312307148685e-11,-2.83309686095868e-06,-1.33032634854798e-10,-2.88815178974054e-06,-2.78942845975844e-10,-6.49427752899691e-06,-3.6177237144171e-10,-4.44377845013059e-06,-7.99553881821552e-10,-1.17321194623335e-05,-6.96498233067461e-10,-6.03258586954343e-06,-1.70280342904037e-09,-1.85466730768378e-05,-1.12203300218961e-09,-7.58157813251519e-06,-3.05808690192632e-09,-2.68430532540147e-05,-1.5885381588371e-09,-8.9717648121317e-06,-4.86078454728606e-09,-3.63767316233199e-05,-1.99525753931776e-09,-1.00183396118127e-05,-6.97543895997795e-09,-4.66740029736291e-05,-2.1822515750172e-09,-1.04445926867693e-05
0.014,0,0,5.76377719465205e-11,0,1.84743627134218e-11,-1.21052343377269e-06,-5.90755987943941e-11,-2.41424548767864e-06,-1.93205212327206e-10,-4.81364908132317e-06,-4.00466599902321e-10,-4.78344390200807e-06,-8.51758522773644e-10,-1.0756294854826e-05,-9.49011404449749e-10,-7.08871665074114e-06,-2.15045067886849e-09,-1.89577262621703e-05,-1.67398574969871e-09,-9.29306571849554e-06,-4.24085813407942e-09,-2.92876651911855e-05,-2.52015648451735e-09,-1.13313366365936e-05,-7.19840316439809e-09,-4.15262735657241e-05,-3.38603447281705e-09,-1.30844998764954e-05,-1.0962883978358e-08,-5.52966595988219e-05,-4.09909929079054e-09,-1.43547959695325e-05,-1.52643558180412e-08,-6.99811730380836e-05,-4.41567238880143e-09,-1.4857653689734e-05
0.016,0,0,8.28407581602596e-11,0,-5.27231892772542e-12,-1.81371949083645e-06,-1.77191793057858e-10,-3.60129926065398e-06,-5.12672129033553e-10,-7.15054612448421e-06,-9.11109331437016e-10,-7.04629952685172e-06,-1.96376537427311e-09,-1.58523375865626e-05,-2.0528554005985e-09,-1.03281641893046e-05,-4.72681652008261e-09,-2.77390774913987e-05,-3.51715969064374e-09,-1.3404441419974e-05,-9.05973939328947e-09,-4.25585300455959e-05,-5.16225867518193e-09,-1.61704185758794e-05,-1.50371017882038e-08,-5.99205355009902e-05,-6.76090297230287e-09,-1.845652475187e-05,-2.24627260313438e-08,-7.92375311765876e-05,-8.00158371018284e-09,-2.00385989821973e-05,-3.07979063877111e-08,-9.96703666800913e-05,-8.51864398184177e-09,-2.06368800954536e-05
0.018,0,0,1.12927801919017e-10,0,-6.08164577900862e-11,-2.54559784030891e-06,-3.98602120448108e-10,-5.04991858203993e-06,-1.10384989963772e-09,-1.00140124510313e-05,-1.82644027081332e-09,-9.84091442018644e-06,-3.9617244666101e-09,-2.21243593487915e-05,-3.99479330877777e-09,-1.4321120548685e-05,-9.26268255272295e-09,-3.85205433427066e-05,-6.66674983031704e-09,-1.83930119593536e-05,-1.73588492912017e-08,-5.87297450607709e-05,-9.5256412613566e-09,-2.19217412121845e-05,-2.82435327650707e-08,-8.21256576112248e-05,-1.21704175702604e-08,-2.47337393302932e-05,-4.14696216245818e-08,-0.000107885677857666,-1.41261449686613e-08,-2.66099496564063e-05,-5.61004780378966e-08,-0.00013494926799002,-1.49033204700442e-08,-2.72964068889235e-05
