time,Ft
0,0
0.002,-0.139625205959231
0.004,-0.279243606782905
0.006,-0.418848397667139
0.008,-0.558432774471378
0.01,-0.697989934050019
0.012,-0.837513074583993
0.014,-0.976995395912265
0.016,-1.11643009986328
0.018,-1.25581039058627
0.02,-1.39512947488251
0.022,-1.53438056253637
0.024,-1.67355686664631
0.026,-1.8126516039556
0.028,-1.95165799518299
0.03,-2.09056926535307
0.032,-2.22937864412651
0.034,-2.36807936613002
0.036,-2.50666467128609
0.038,-2.64512780514245
0.04,-2.78346201920131
0.042,-2.92166057124823
0.044,-3.05971672568076
0.046,-3.1976237538367
0.048,-3.33537493432205
0.05,-3.47296355333861
0.052,-3.6103829050112
0.054,-3.74762629171449
0.056,-3.88468702439944
0.058,-4.0215584229193
0.06,-4.15823381635519
0.062,-4.29470654334127
0.064,-4.43096995238935
0.066,-4.56701740221312
0.068,-4.7028422620518
0.07,-4.83843791199336
0.0720000000000001,-4.9737977432971
0.0740000000000001,-5.10891515871581
0.0760000000000001,-5.2437835728173
0.0780000000000001,-5.37839641230532
0.0800000000000001,-5.51274711633999
0.0820000000000001,-5.64682913685753
0.0840000000000001,-5.78063593888944
0.0860000000000001,-5.91416100088094
0.0880000000000001,-6.04739781500889
0.0900000000000001,-6.18033988749895
0.0920000000000001,-6.31298073894205
0.0940000000000001,-6.44531390461023
0.0960000000000001,-6.57733293477167
0.0980000000000001,-6.70903139500511
0.1,-6.84040286651338
0.102,-6.97144094643631
0.104,-7.10213924816275
0.106,-7.23249140164185
0.108,-7.36249105369357
0.11,-7.49213186831825
0.112,-7.62140752700549
0.114,-7.75031172904206
0.116,-7.87883819181903
0.118,-8.0069806511379
0.12,-8.13473286151601
0.122,-8.26208859649084
0.124,-8.38904164892355
0.126,-8.51558583130146
0.128,-8.64171497603965
0.13,-8.76742293578155
0.132,-8.89270358369856
0.134,-9.01755081378862
0.136,-9.14195854117389
0.138,-9.26592070239724
0.14,-9.38943125571782
0.142,-9.51248418140551
0.144,-9.63507348203431
0.146,-9.75719318277466
0.148,-9.87883733168463
0.15,-10
0.152,-10.1206752824233
0.154,-10.2408572974114
0.156,-10.3605401874626
0.158,-10.4797181194016
0.16,-10.5983852846641
0.162,-10.7165358995799
0.164,-10.8341642056548
0.166,-10.951264469851
0.168,-11.0678309848669
0.17,-11.1838580694149
0.172,-11.2993400684988
0.174,-11.4142713536886
0.176,-11.5286463233959
0.178,-11.6424594031458
0.18,-11.7557050458495
0.182,-11.868377732074
0.184,-11.9804719703117
