time,Ft
0,0
0.002,-0.418865410174358
0.004,-0.837649161707066
0.006,-1.25626961187599
0.008,-1.67464514979491
0.01,-2.09269421232376
0.012,-2.51033529996946
0.014,-2.92748699277448
0.016,-3.34406796618976
0.018,-3.75999700692913
0.02,-4.17519302880196
0.022,-4.58957508852114
0.024,-5.00306240148307
0.026,-5.4155743575168
0.028,-5.82703053659916
0.03,-6.23735072453278
0.032,-6.64645492858402
0.034,-7.0542633930777
0.036,-7.46069661494565
0.038,-7.86567535922595
0.04,-8.26912067450998
0.042,-8.67095390833415
0.044,-9.07109672251334
0.046,-9.46947110841308
0.048,-9.8659994021575
0.05,-10.2606042997701
0.052,-10.6532088722441
0.054,-11.0437365805403
0.056,-11.4321112905082
0.058,-11.8182572877285
0.06,-12.202099292274
0.062,-12.5835624733853
0.064,-12.9625724640595
0.066,-13.3390553755478
0.068,-13.7129378117608
0.07,-14.0841468835767
0.0720000000000001,-14.4526102230515
0.0740000000000001,-14.8182559975269
0.0760000000000001,-15.1810129236349
0.0780000000000001,-15.5408102811939
0.0800000000000001,-15.8975779269962
0.0820000000000001,-16.2512463084822
0.0840000000000001,-16.6017464773003
0.0860000000000001,-16.9490101027482
0.0880000000000001,-17.2929694850938
0.0900000000000001,-17.6335575687742
0.0920000000000001,-17.9707079554676
0.0940000000000001,-18.304354917038
0.0960000000000001,-18.6344334083493
0.0980000000000001,-18.9608790799455
0.1,-19.2836282905962
0.102,-19.6026181197032
0.104,-19.9177863795673
0.106,-20.2290716275117
0.108,-20.5364131778607
0.11,-20.8397511137699
0.112,-21.1390262989079
0.114,-21.4341803889841
0.116,-21.725155843124
0.118,-22.0118959350863
0.12,-22.2943447643218
0.122,-22.5724472668717
0.124,-22.8461492261021
0.126,-23.1153972832737
0.128,-23.3801389479442
0.13,-23.6403226082017
0.132,-23.8958975407259
0.134,-24.1468139206774
0.136,-24.3930228314108
0.138,-24.6344762740111
0.14,-24.8711271766513
0.142,-25.1029294037689
0.144,-25.3298377650605
0.146,-25.5518080242914
0.148,-25.7687969079199
0.15,-25.9807621135332
0.152,-26.1876623180943
0.154,-26.3894571859985
0.156,-26.5861073769365
0.158,-26.7775745535638
0.16,-26.963821388975
0.162,-27.1448115739806
0.164,-27.3205098241853
0.166,-27.4908818868672
0.168,-27.655894547655
0.17,-27.8155156370036
0.172,-27.9697140364654
0.174,-28.1184596847568
0.176,-28.2617235836189
0.178,-28.3994778034709
0.18,-28.5316954888546
0.182,-28.6583508636703
0.184,-28.7794192362017
0.186,-28.8948770039298
0.188,-29.0047016581338
0.19,-29.1088717882799
0.192,-29.2073670861948
0.194,-29.300168350025
0.196,-29.3872574879803
0.198,-29.4686175218607
0.2,-29.5442325903662
0.202,-29.6140879521896
0.204,-29.6781699888897
0.206,-29.7364662075463
0.208,-29.7889652431961
0.21,-29.8356568610482
0.212,-29.8765319584791
0.214,-29.9115825668076
0.216,-29.9408018528481
0.218,-29.964184120243
0.22,-29.9817248105729
0.222,-29.9934205042454
0.224,-29.9992689211618
0.226,-29.9992689211618
0.228,-29.9934205042454
0.23,-29.9817248105729
0.232,-29.964184120243
0.234,-29.9408018528481
0.236,-29.9115825668076
0.238,-29.8765319584791
0.24,-29.8356568610482
0.242,-29.7889652431961
0.244,-29.7364662075462
0.246,-29.6781699888896
0.248,-29.6140879521896
0.25,-29.5442325903662
0.252,-29.4686175218607
0.254,-29.3872574879803
0.256,-29.300168350025
0.258,-29.2073670861948
0.26,-29.1088717882799
0.262,-29.0047016581338
0.264,-28.8948770039297
0.266,-28.7794192362017
0.268,-28.6583508636703
0.27,-28.5316954888546
0.272,-28.3994778034709
0.274,-28.2617235836189
0.276,-28.1184596847567
0.278,-27.9697140364653
0.28,-27.8155156370036
0.282,-27.655894547655
0.284,-27.4908818868672
0.286,-27.3205098241853
0.288,-27.1448115739806
0.29,-26.963821388975
0.292,-26.7775745535637
0.294,-26.5861073769364
0.296,-26.3894571859985
0.298,-26.1876623180943
0.3,-25.9807621135331
0.302,-25.7687969079199
0.304,-25.5518080242914
0.306,-25.3298377650604
0.308,-25.1029294037688
0.31,-24.8711271766512
0.312,-24.6344762740111
0.314,-24.3930228314108
0.316,-24.1468139206774
0.318,-23.8958975407259
0.32,-23.6403226082016
0.322,-23.3801389479442
0.324,-23.1153972832736
0.326,-22.8461492261021
0.328,-22.5724472668717
0.33,-22.2943447643218
0.332,-22.0118959350863
0.334,-21.725155843124
0.336,-21.4341803889841
0.338,-21.1390262989078
0.34,-20.8397511137699
0.342,-20.5364131778606
0.344,-20.2290716275117
0.346,-19.9177863795672
0.348,-19.6026181197031
0.35,-19.2836282905961
0.352,-18.9608790799455
0.354,-18.6344334083493
0.356,-18.304354917038
0.358,-17.9707079554675
0.36,-17.6335575687741
0.362,-17.2929694850937
0.364,-16.9490101027481
0.366,-16.6017464773003
0.368,-16.2512463084821
0.37,-15.8975779269961
0.372,-15.5408102811938
0.374,-15.1810129236349
0.376,-14.8182559975269
0.378,-14.4526102230514
0.38,-14.0841468835767
0.382,-13.7129378117608
0.384,-13.3390553755478
0.386,-12.9625724640594
0.388,-12.5835624733852
0.39,-12.2020992922739
0.392,-11.8182572877285
0.394,-11.4321112905082
0.396,-11.0437365805403
0.398,-10.653208872244
0.4,-10.26060429977
0.402,-9.86599940215743
0.404,-9.469471108413
0.406,-9.07109672251326
0.408,-8.67095390833407
0.41,-8.2691206745099
0.412,-7.86567535922586
0.414,-7.46069661494557
0.416,-7.05426339307762
0.418,-6.64645492858394
0.42,-6.2373507245327
0.422,-5.82703053659908
0.424,-5.41557435751672
0.426,-5.00306240148299
0.428,-4.58957508852106
0.43,-4.17519302880188
0.432,-3.75999700692904
0.434,-3.34406796618968
0.436,-2.92748699277441
0.438,-2.51033529996939
0.44,-2.09269421232369
0.442,-1.67464514979484
0.444,-1.25626961187591
0.446,-0.837649161706991
0.448,-0.418865410174282
0.45,7.62621173755692e-14
0.452,0.418865410174435
0.454,0.837649161707144
0.456,1.25626961187607
0.458,1.67464514979499
0.46,2.09269421232384
0.462,2.51033529996954
0.464,2.92748699277456
0.466,3.34406796618984
0.468,3.75999700692921
0.47,4.17519302880204
0.472,4.58957508852122
0.474,5.00306240148315
0.476,5.41557435751688
0.478,5.82703053659924
0.48,6.23735072453286
0.482,6.6464549285841
0.484,7.05426339307778
0.486,7.46069661494573
0.488,7.86567535922603
0.49,8.26912067451006
0.492,8.67095390833423
0.494,9.07109672251342
0.496,9.46947110841316
0.498,9.86599940215758
0.5,10.2606042997701
0.502,10.6532088722442
0.504,11.0437365805404
0.506,11.4321112905083
0.508,11.8182572877286
0.51,12.2020992922741
0.512,12.5835624733854
0.514,12.9625724640595
0.516,13.3390553755479
0.518,13.7129378117609
0.52,14.0841468835768
0.522,14.4526102230515
0.524,14.818255997527
0.526,15.181012923635
0.528,15.540810281194
0.53,15.8975779269962
0.532,16.2512463084823
0.534,16.6017464773004
0.536,16.9490101027482
0.538,17.2929694850939
0.54,17.6335575687743
0.542,17.9707079554676
0.544,18.3043549170381
0.546,18.6344334083494
0.548,18.9608790799456
0.55,19.2836282905963
0.552,19.6026181197032
0.554,19.9177863795673
0.556,20.2290716275118
0.558,20.5364131778607
0.56,20.83975111377
0.562,21.1390262989079
0.564,21.4341803889842
0.566,21.7251558431241
0.568,22.0118959350864
0.57,22.2943447643219
0.572,22.5724472668718
0.574,22.8461492261022
0.576,23.1153972832737
0.578,23.3801389479443
0.58,23.6403226082017
0.582,23.8958975407259
0.584,24.1468139206775
0.586,24.3930228314109
0.588,24.6344762740112
0.59,24.8711271766513
0.592,25.1029294037689
0.594,25.3298377650605
0.596,25.5518080242915
0.598,25.76879690792
0.6,25.9807621135332
0.602,26.1876623180943
0.604,26.3894571859985
0.606,26.5861073769365
0.608,26.7775745535638
0.61,26.9638213889751
0.612,27.1448115739806
0.614,27.3205098241854
0.616,27.4908818868672
0.618,27.6558945476551
0.62,27.8155156370037
0.622,27.9697140364654
0.624,28.1184596847568
