time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,1.14931461017903e-11,0,1.09933575972932e-11,1.3749915955953e-07,1.02556926662526e-11,2.50205254533193e-07,2.06859714648202e-11,4.46502343251013e-07,9.40258707115105e-12,3.3660007142124e-07,3.0899295906337e-11,7.31952139375263e-07,1.12131937445319e-11,1.83954841704113e-07,4.26440330499013e-11,6.84607115756171e-07,9.67832261871784e-12,-3.59527934123986e-07,3.84963301231062e-11,-1.79312176382395e-07,-3.04570673734239e-11,-1.47630732433215e-06,-5.95710184746567e-11,-2.4851153980029e-06,-1.94605208451405e-10,-3.23144481716137e-06,-4.17941430209795e-10,-6.74987776037357e-06,-5.46372244425618e-10,-5.28168202329678e-06,-1.13809178153802e-09,-1.27653252925963e-05,-8.31077329188149e-10,-6.43737342827722e-06
0.004,0,0,2.64174807861669e-10,0,2.39799788861876e-10,9.36749638603802e-07,2.09436530760876e-10,1.60422521858327e-06,4.443290100396e-10,2.65778509378292e-06,2.15222644476636e-10,1.55168349368834e-06,6.95080355417412e-10,3.43422242631159e-06,2.67440146186444e-10,-3.19938836425342e-07,8.59823127714506e-10,1.34914038056508e-06,-6.95828602462506e-11,-4.18859200742276e-06,1.30829966232272e-10,-5.57873627322774e-06,-1.68221561698451e-09,-9.94108629747355e-06,-3.21400107618304e-09,-1.89040246485818e-05,-5.34467069712928e-09,-1.67725018338605e-05,-1.10349083852931e-08,-3.89002192152025e-05,-1.02981057372974e-08,-2.29011737825211e-05,-2.31260135742155e-08,-6.35802358299853e-05,-1.31606603980917e-08,-2.56363315122214e-05
0.006,0,0,1.25784553065835e-09,0,1.1373980829537e-09,2.05228099650187e-06,1.01721470416324e-09,3.21998140174992e-06,2.2313971851523e-09,4.68953943286324e-06,1.20254364498109e-09,1.19895034869379e-06,3.33273447680443e-09,2.82387385266567e-06,6.10609110708533e-10,-5.68131270557161e-06,2.06536359521191e-09,-7.98208951286284e-06,-4.14377362379206e-09,-1.6463831536612e-05,-7.43545213442929e-09,-3.08549560875386e-05,-1.61434387647923e-08,-2.9477984233262e-05,-3.25924245184081e-08,-6.6917904826167e-05,-3.4943626250481e-08,-4.24183114710999e-05,-7.76968020995693e-08,-0.000114761108547237,-5.46195053305157e-08,-5.25559769658263e-05,-1.38553739826984e-07,-0.000170059321190008,-6.44632792304622e-08,-5.67538560951442e-05
0.008,0,0,2.62130142267278e-09,0,2.61681375630526e-09,6.01045122207706e-07,2.59400061752292e-09,-1.93981410511817e-08,4.96950176475416e-09,-2.42636744094167e-06,1.57727690708011e-09,-7.17622183563562e-06,3.68691815643584e-09,-1.58377001208512e-05,-5.84556217896046e-09,-2.05616908277174e-05,-1.13511724527954e-08,-4.50433550922625e-05,-2.697702828912e-08,-3.84055299338591e-05,-5.62598778186962e-08,-9.33242211790106e-05,-6.56172351638733e-08,-5.82601365895711e-05,-1.47140957067633e-07,-0.000161255554400604,-1.17321526932259e-07,-7.71717064704594e-05,-2.90331168972327e-07,-0.000246185686829375,-1.66844945019936e-07,-9.16136244323598e-05,-4.71953470078921e-07,-0.000341606552815307,-1.89889707825902e-07,-9.74175398264422e-05
0.01,0,0,5.72106868264184e-09,0,5.02036703985316e-09,-5.28955954156476e-06,3.20276224343202e-09,-1.13613479576608e-05,3.18950657765898e-09,-2.42771329464581e-05,-9.19947967426183e-09,-2.73790465159448e-05,-1.94871783969406e-08,-6.15154302088653e-05,-3.9963347660572e-08,-4.77799889290587e-05,-8.57055133297133e-08,-0.00012101491143187,-9.73524290574629e-08,-7.16785550683123e-05,-2.241587418453e-07,-0.000205408716258381,-1.83932110001355e-07,-9.7141413703489e-05,-4.60037951348785e-07,-0.000314764952791082,-2.88958688799662e-07,-0.000120970029153049,-7.98942134341458e-07,-0.000445396598795134,-3.83935904614392e-07,-0.000138923168109993,-1.21056842070377e-06,-0.000589030166178775,-4.27087405626744e-07,-0.000146108415059272
0.012,0,0,1.34832698860121e-08,0,8.37478246499512e-09,-1.38870590917202e-05,-2.20230184257315e-09,-2.80547677050417e-05,-1.61576502855747e-08,-5.66610858419892e-05,-5.32146844163899e-08,-5.77576004602863e-05,-1.11582459814209e-07,-0.00012987352751792,-1.44659556938168e-07,-8.88576846265146e-05,-3.19728663406806e-07,-0.000234604033314793,-2.78441768532401e-07,-0.000120616203500862,-6.80789982930761e-07,-0.000370849310997934,-4.48483902900819e-07,-0.000151575156115064,-1.22246757592973e-06,-0.000536709790732311,-6.34869011256528e-07,-0.000179357725021411,-1.94289279568044e-06,-0.000727296666147529,-7.97350310332201e-07,-0.000200272087190899,-2.78793852292246e-06,-0.000933142639887744,-8.720483610345e-07,-0.000208789866269932
0.014,0,0,2.30195985805411e-08,0,7.35515892877625e-09,-2.42094469865539e-05,-2.36588149440816e-08,-4.82809442954994e-05,-7.73200861252489e-08,-9.62613677065908e-05,-1.60150455531939e-07,-9.56499110561818e-05,-3.4062840058987e-07,-0.000215083692282784,-3.79392978541615e-07,-0.000141730644440993,-8.5974679558591e-07,-0.000379052991260962,-6.69064363549955e-07,-0.00018578531716366,-1.69516084859343e-06,-0.000585557681177495,-1.00707473798242e-06,-0.000226514210826855,-2.87692406345335e-06,-0.000830199124971248,-1.35288777264489e-06,-0.00026154170809551,-4.38093591408857e-06,-0.00110544349779992,-1.63762901942458e-06,-0.000286919452366079,-6.09936993306991e-06,-0.00139894963993845,-1.7640321949491e-06,-0.000296964881955378
0.016,0,0,3.30605040121634e-08,0,-2.1735530456159e-09,-3.62681861914677e-05,-7.09100724811649e-08,-7.20107043557102e-05,-2.0507655777948e-07,-0.00014297494316875,-3.64257547393393e-07,-0.000140879196182957,-7.8510485265866e-07,-0.000316942372326462,-8.20458643221981e-07,-0.000206471256948974,-1.88925766586881e-06,-0.000554558171432251,-1.4053590395582e-06,-0.000267941593332606,-3.62038814567785e-06,-0.00085077023733924,-2.06229401155473e-06,-0.000323201458476971,-6.00811004768169e-06,-0.00119777453136518,-2.70052565054587e-06,-0.000368867061103392,-8.97396868742085e-06,-0.00158382774165508,-3.19574736562897e-06,-0.00040046515962325,-1.23028534994817e-05,-0.00199216604146665,-3.40210071332083e-06,-0.000412413070388477
0.018,0,0,4.50305108025754e-08,0,-2.44231562745475e-08,-5.08951784781229e-05,-1.59432774738337e-07,-0.000100960809067314,-4.41368288527773e-07,-0.00020019772403782,-7.29954193861112e-07,-0.000196720994706524,-1.58333205260305e-06,-0.000442269895538908,-1.59605756580522e-06,-0.0002862476684701,-3.70096240661028e-06,-0.000769974962998444,-2.66295438694179e-06,-0.000367596443796375,-6.93452300721712e-06,-0.00117384889501534,-3.80413319446796e-06,-0.000438078692523569,-1.12810106155127e-05,-0.00164136748120354,-4.85954086580833e-06,-0.000494233903478449,-1.65617279670889e-05,-0.00215609283400189,-5.63977936186558e-06,-0.000531694610753358,-2.24028212240462e-05,-0.00269684355739776,-5.94976123510681e-06,-0.000545398277910433
