time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,4.13770478504018e-14,0,3.9577734309075e-14,8.2501213439355e-09,3.69220299538813e-14,1.50126278709705e-08,7.44725961009554e-14,2.67906984924427e-08,3.38507217608795e-14,2.01964249780127e-08,1.11242093864815e-13,4.39180431684039e-08,4.0369177147304e-14,1.10375207452062e-08,1.53524907195542e-13,4.10772832007967e-08,3.48434118210974e-14,-2.15721244119321e-08,1.38592555913244e-13,-1.07589525479159e-08,-1.09650004875943e-13,-8.85802823948799e-08,-2.1446459126707e-13,-1.4911002454638e-07,-7.00607906560864e-13,-1.93890723494601e-07,-1.50465176439813e-12,-4.05001090776913e-07,-1.96702193516448e-12,-3.16907515319519e-07,-4.09730091475774e-12,-7.65935452416195e-07,-2.99200288570011e-12,-3.86250441942601e-07
0.004,0,0,9.51120408462089e-13,0,8.63363469948359e-13,5.62072033722231e-08,7.54046839964951e-13,9.62574388178969e-08,1.59974137123728e-12,1.59473857714905e-07,7.74876122020275e-13,9.31055417285e-08,2.50253229932331e-12,2.06063275916063e-07,9.62878913834913e-13,-1.91952910581082e-08,3.09568111060611e-12,8.0955430366385e-08,-2.50480233510146e-13,-2.51323441461115e-07,4.71135958740718e-13,-3.3473233576026e-07,-6.05643501166147e-12,-5.96488746955752e-07,-1.15712732413485e-11,-1.13428370292672e-06,-1.92425372096344e-11,-1.00639546673598e-06,-3.97292226560027e-11,-2.33411253915586e-06,-3.70768683527779e-11,-1.37413886316959e-06,-8.32616796178272e-11,-3.81498969810531e-06,-4.73833394852116e-11,-1.53826040937265e-06
0.006,0,0,4.52924240920017e-12,0,4.09554823069692e-12,1.23148897929067e-07,3.66279666369894e-12,1.93219389549848e-07,8.03480099537976e-12,2.8140607858525e-07,4.33009352157871e-12,7.1956088125662e-08,1.20006287137053e-11,1.6947466030925e-07,2.19912401096017e-12,-3.4088498759885e-07,7.43824797677633e-12,-4.7891286259245e-07,-1.49188100518368e-11,-9.87887588081595e-07,-2.67690096417686e-11,-1.85137919147119e-06,-5.81248474224615e-11,-1.76881395356682e-06,-1.17349032587472e-10,-4.01533754087265e-06,-1.25819430565568e-10,-2.54532820735973e-06,-2.79755858476105e-10,-6.88620599262361e-06,-1.96669843737356e-10,-3.153677941142e-06,-4.98886588339208e-10,-1.02044458768764e-05,-2.321172237822e-10,-3.40559381097427e-06
0.008,0,0,9.44132292320598e-12,0,9.42509342792812e-12,3.60980410819727e-08,9.34298509605463e-12,-1.10653564248861e-09,1.7899752450899e-11,-1.45494017590951e-07,5.68341443188035e-12,-4.3053862610496e-07,1.32865434318913e-11,-9.50183888529528e-07,-2.10426467267683e-11,-1.23376906702648e-06,-4.08570235263706e-11,-2.70267372340802e-06,-9.71351119276301e-11,-2.30457701941957e-06,-2.02566360134416e-10,-5.59988604515905e-06,-2.36284980397592e-10,-3.49609175406525e-06,-5.29835387325435e-10,-9.6763823498552e-06,-4.22492280917312e-10,-4.63105202624917e-06,-1.04549534460369e-09,-1.47730628647731e-05,-6.00855493365805e-10,-5.49780081140994e-06,-1.69957533391331e-09,-2.04993668213781e-05,-6.83857817556748e-10,-5.84614165911892e-06
0.01,0,0,2.06105055327886e-11,0,1.80891035089594e-11,-3.17312970295121e-07,1.15471166332521e-11,-6.81592160438956e-07,1.15149486618622e-11,-1.45651469614371e-06,-3.31042234723348e-11,-1.64275761342849e-06,-7.01200992373021e-11,-3.69095558072205e-06,-1.43887449077499e-10,-2.86709942611433e-06,-3.08566095633586e-10,-7.26143430760525e-06,-3.50581608455113e-10,-4.30145606995652e-06,-8.07191253383621e-10,-1.23260753397492e-05,-6.624435791385e-10,-5.82978034622686e-06,-1.65676329450221e-09,-1.8889038111863e-05,-1.0407847330812e-09,-7.2600793797456e-06,-2.87748015035921e-09,-2.67290723302828e-05,-1.38295059391844e-09,-8.33775433839821e-06,-4.36019404827781e-09,-3.53495886358716e-05,-1.53841868444391e-09,-8.76908132829368e-06
0.012,0,0,4.85825248196459e-11,0,3.01947319975926e-11,-8.33171930870291e-07,-7.8819422331802e-12,-1.6832443732566e-06,-5.80891690471363e-11,-3.39970131642963e-06,-1.91567114680776e-10,-3.46573087221052e-06,-4.01678979099141e-10,-7.79301862623809e-06,-5.20926185457542e-10,-5.33237827749785e-06,-1.15130797285403e-09,-1.40782019685748e-05,-1.0028763339304e-09,-7.23879860416313e-06,-2.45186483983704e-09,-2.22552746226461e-05,-1.6155585779033e-09,-9.09741172593588e-06,-4.40324935956366e-09,-3.22103569301236e-05,-2.28721436428171e-09,-1.07654539946882e-05,-6.99879769524346e-09,-4.36500281871312e-05,-2.87278329317508e-09,-1.20211951007555e-05,-1.00434795118596e-08,-5.60058998507166e-05,-3.14200286562875e-09,-1.2532635053956e-05
0.014,0,0,8.2980681507496e-11,0,2.65864919391627e-11,-1.45261148163649e-06,-8.50814418238052e-11,-2.89704774292084e-06,-2.78230962421026e-10,-5.77625833554169e-06,-5.76649974882896e-10,-5.7399584975487e-06,-1.22648689665344e-09,-1.2907163564472e-05,-1.3664660466586e-09,-8.5060829582221e-06,-3.09641989064262e-09,-2.27483759045177e-05,-2.41027017230413e-09,-1.115103638321e-05,-6.10622771352778e-09,-3.514351014718e-05,-3.62852654382819e-09,-1.35966579489403e-05,-1.03644589808569e-08,-4.98287409992587e-05,-4.8751186296694e-09,-1.57001520013679e-05,-1.57844104116341e-08,-6.63518274997459e-05,-5.90168404554448e-09,-1.72242654853158e-05,-2.19774366610122e-08,-8.39716873042922e-05,-6.35743273353948e-09,-1.78275925884504e-05
0.016,0,0,1.19253836760277e-10,0,-7.62115249189079e-12,-2.17639319696028e-06,-2.55166244842992e-10,-4.3214009342073e-06,-7.38238605218852e-10,-8.58030379038174e-06,-1.31189223198015e-09,-8.45513766775061e-06,-2.82759681676618e-09,-1.90218586281225e-05,-2.95576047341007e-09,-1.23930137989305e-05,-6.80585179616581e-09,-3.32849485224596e-05,-5.06395820043685e-09,-1.60841062221515e-05,-1.304424804699e-08,-5.10668281120886e-05,-7.43235987305207e-09,-1.94027957805529e-05,-2.16500536619537e-08,-7.18992898898068e-05,-9.73379940542024e-09,-2.21456553809916e-05,-3.23407722913538e-08,-9.50773137330037e-05,-1.15198498992298e-08,-2.40437763776284e-05,-4.43408475989705e-08,-0.000119594073628186,-1.22641763176778e-08,-2.47615601095298e-05
0.018,0,0,1.62548914787997e-10,0,-8.76154323896031e-11,-3.05454644019668e-06,-5.73966984593745e-10,-6.0595389765434e-06,-1.58942785735968e-09,-1.20160460718974e-05,-2.62973906386543e-09,-1.18082442591724e-05,-5.70415703425061e-09,-2.65473153533193e-05,-5.75156664197468e-09,-1.7183886008994e-05,-1.33361737433209e-08,-4.62209358349127e-05,-9.59828223431088e-09,-2.20694608601835e-05,-2.49922592071014e-08,-7.04694578654606e-05,-1.37139419486222e-08,-2.63032020522653e-05,-4.06626064228589e-08,-9.85413115192442e-05,-1.75211956190962e-08,-2.96769071866684e-05,-5.97034252816325e-08,-0.000129449469297536,-2.03364184499215e-08,-3.19278246148821e-05,-8.07663388707407e-08,-0.000161921518393794,-2.14551005312369e-08,-3.27513528902257e-05
