time,Ft
0,0
0.002,-0.502641595334104
0.004,-1.0052038177335
0.006,-1.50760730679738
0.008,-2.00977272719078
0.01,-2.51162078117253
0.012,-3.01307222111731
0.014,-3.51404786202973
0.016,-4.0144685940486
0.018,-4.51425539493927
0.02,-5.01332934257217
0.022,-5.51161162738552
0.024,-6.00902356483028
0.026,-6.50548660779535
0.028,-7.00092235901104
0.03,-7.49525258342899
0.032,-7.98839922057628
0.034,-8.48028439688219
0.036,-8.97083043797525
0.038,-9.45995988094899
0.04,-9.9475954865942
0.042,-10.4336602515959
0.044,-10.918077420693
0.046,-11.4007704987991
0.048,-11.8816632630814
0.05,-12.3606797749979
0.052,-12.8377443922884
0.054,-13.3127817809195
0.056,-13.7857169269807
0.058,-14.25647514853
0.06,-14.7249821073871
0.062,-15.1911638208721
0.064,-15.6549466734881
0.066,-16.1162574285465
0.068,-16.5750232397314
0.07,-17.0311716626029
0.0720000000000001,-17.4846306660373
0.0740000000000001,-17.9353286436013
0.0760000000000001,-18.3831944248595
0.0780000000000001,-18.8281572866133
0.0800000000000001,-19.2701469640686
0.0820000000000001,-19.7090936619317
0.0840000000000001,-20.1449280654304
0.0860000000000001,-20.5775813512603
0.0880000000000001,-21.0069851984518
0.0900000000000001,-21.4330717991599
0.0920000000000001,-21.8557738693708
0.0940000000000001,-22.2750246595275
0.0960000000000001,-22.6907579650703
0.0980000000000001,-23.1029081368907
0.1,-23.5114100916989
0.102,-23.9161993223008
0.104,-24.3172119077842
0.106,-24.7143845236134
0.108,-25.107654451628
0.11,-25.4969595899476
0.112,-25.8822384627778
0.114,-26.2634302301183
0.116,-26.6404746973701
0.118,-27.013312324841
0.12,-27.3818842371476
0.122,-27.7461322325122
0.124,-28.105998791954
0.126,-28.4614270883714
0.128,-28.8123609955163
0.13,-29.1587450968565
0.132,-29.500524694327
0.134,-29.8376458169673
0.136,-30.1700552294442
0.138,-30.4977004404579
0.14,-30.8205297110316
0.142,-31.138492062681
0.144,-31.4515372854648
0.146,-31.7596159459134
0.148,-32.0626793948351
0.15,-32.3606797749979
0.152,-32.6535700286874
0.154,-32.9413039051371
0.156,-33.2238359678325
0.158,-33.5011216016857
0.16,-33.7731170200806
0.162,-34.0397792717877
0.164,-34.3010662477461
0.166,-34.5569366877134
0.168,-34.807350186781
0.17,-35.0522672017546
0.172,-35.2916490573981
0.174,-35.5254579525418
0.176,-35.7536569660506
0.178,-35.9762100626549
0.18,-36.1930820986408
0.182,-36.4042388273998
0.184,-36.6096469048367
0.186,-36.8092738946348
0.188,-37.0030882733783
0.19,-37.1910594355301
0.192,-37.3731576982645
0.194,-37.549354306155
0.196,-37.7196214357146
0.198,-37.8839321997898
0.2,-38.0422606518062
0.202,-38.1945817898657
0.204,-38.340871560695
0.206,-38.4811068634434
0.208,-38.615265553331
0.21,-38.7433264451453
0.212,-38.865269316587
0.214,-38.9810749114631
0.216,-39.0907249427277
0.218,-39.1942020953699
0.22,-39.2914900291476
0.222,-39.3825733811682
0.224,-39.4674377683147
0.226,-39.5460697895166
0.228,-39.6184570278661
0.23,-39.6845880525791
0.232,-39.7444524208003
0.234,-39.798040679252
0.236,-39.8453443657269
0.238,-39.8863560104246
0.24,-39.9210691371309
0.242,-39.9494782642407
0.244,-39.9715789056236
0.246,-39.987367571332
0.248,-39.9968417681526
0.25,-40
0.252,-39.9968417681526
0.254,-39.987367571332
0.256,-39.9715789056236
0.258,-39.9494782642407
0.26,-39.9210691371309
0.262,-39.8863560104245
0.264,-39.8453443657269
0.266,-39.798040679252
0.268,-39.7444524208003
0.27,-39.6845880525791
0.272,-39.618457027866
0.274,-39.5460697895166
0.276,-39.4674377683147
0.278,-39.3825733811682
0.28,-39.2914900291475
0.282,-39.1942020953699
0.284,-39.0907249427277
0.286,-38.9810749114631
0.288,-38.8652693165869
0.29,-38.7433264451452
0.292,-38.6152655533309
0.294,-38.4811068634434
0.296,-38.340871560695
0.298,-38.1945817898657
0.3,-38.0422606518061
0.302,-37.8839321997898
0.304,-37.7196214357146
0.306,-37.5493543061549
0.308,-37.3731576982645
0.31,-37.19105943553
0.312,-37.0030882733783
0.314,-36.8092738946348
0.316,-36.6096469048367
0.318,-36.4042388273998
0.32,-36.1930820986408
0.322,-35.9762100626548
0.324,-35.7536569660505
0.326,-35.5254579525418
0.328,-35.2916490573981
0.33,-35.0522672017545
0.332,-34.807350186781
0.334,-34.5569366877134
0.336,-34.3010662477461
0.338,-34.0397792717876
0.34,-33.7731170200806
0.342,-33.5011216016856
0.344,-33.2238359678325
0.346,-32.9413039051371
0.348,-32.6535700286873
0.35,-32.3606797749979
0.352,-32.062679394835
0.354,-31.7596159459134
0.356,-31.4515372854647
0.358,-31.1384920626809
0.36,-30.8205297110315
0.362,-30.4977004404579
0.364,-30.1700552294441
0.366,-29.8376458169672
0.368,-29.5005246943269
0.37,-29.1587450968564
0.372,-28.8123609955162
0.374,-28.4614270883714
0.376,-28.1059987919539
0.378,-27.7461322325121
0.38,-27.3818842371475
0.382,-27.0133123248409
0.384,-26.64047469737
0.386,-26.2634302301182
0.388,-25.8822384627777
0.39,-25.4969595899475
0.392,-25.107654451628
0.394,-24.7143845236133
0.396,-24.3172119077842
0.398,-23.9161993223007
0.4,-23.5114100916989
0.402,-23.1029081368906
0.404,-22.6907579650702
0.406,-22.2750246595275
0.408,-21.8557738693707
0.41,-21.4330717991598
0.412,-21.0069851984518
0.414,-20.5775813512602
0.416,-20.1449280654304
0.418,-19.7090936619316
0.42,-19.2701469640685
0.422,-18.8281572866132
0.424,-18.3831944248594
0.426,-17.9353286436012
0.428,-17.4846306660373
0.43,-17.0311716626028
0.432,-16.5750232397313
0.434,-16.1162574285464
0.436,-15.654946673488
0.438,-15.191163820872
0.44,-14.724982107387
0.442,-14.2564751485299
0.444,-13.7857169269806
0.446,-13.3127817809194
0.448,-12.8377443922883
0.45,-12.3606797749978
0.452,-11.8816632630813
0.454,-11.400770498799
0.456,-10.9180774206929
0.458,-10.4336602515958
0.46,-9.94759548659411
0.462,-9.4599598809489
0.464,-8.97083043797517
0.466,-8.48028439688211
0.468,-7.9883992205762
0.47,-7.4952525834289
0.472,-7.00092235901095
0.474,-6.50548660779526
0.476,-6.0090235648302
0.478,-5.51161162738543
0.48,-5.01332934257208
0.482,-4.51425539493919
0.484,-4.01446859404851
0.486,-3.51404786202964
0.488,-3.01307222111721
0.49,-2.51162078117244
0.492,-2.0097727271907
0.494,-1.50760730679729
0.496,-1.00520381773341
0.498,-0.502641595334007
0.5,8.39192547734231e-14
0.502,0.502641595334175
0.504,1.00520381773357
0.506,1.50760730679746
0.508,2.00977272719087
0.51,2.51162078117262
0.512,3.01307222111738
0.514,3.51404786202981
0.516,4.01446859404868
0.518,4.51425539493935
0.52,5.01332934257226
0.522,5.5116116273856
0.524,6.00902356483036
0.526,6.50548660779543
0.528,7.00092235901113
0.53,7.49525258342906
0.532,7.98839922057636
0.534,8.48028439688227
0.536,8.97083043797533
0.538,9.45995988094908
0.54,9.94759548659427
0.542,10.433660251596
0.544,10.9180774206931
0.546,11.4007704987991
0.548,11.8816632630815
0.55,12.360679774998
0.552,12.8377443922885
0.554,13.3127817809196
0.556,13.7857169269808
0.558,14.2564751485301
0.56,14.7249821073872
0.562,15.1911638208721
0.564,15.6549466734882
0.566,16.1162574285466
0.568,16.5750232397314
0.57,17.031171662603
0.572,17.4846306660374
0.574,17.9353286436014
0.576,18.3831944248596
0.578,18.8281572866134
0.58,19.2701469640687
0.582,19.7090936619317
0.584,20.1449280654305
0.586,20.5775813512603
0.588,21.0069851984519
0.59,21.4330717991599
0.592,21.8557738693709
0.594,22.2750246595276
0.596,22.6907579650703
0.598,23.1029081368908
