time,Ft
0,0
0.002,-1.0052038177335
0.004,-2.00977272719078
0.006,-3.01307222111731
0.008,-4.0144685940486
0.01,-5.01332934257217
0.012,-6.00902356483028
0.014,-7.00092235901104
0.016,-7.98839922057628
0.018,-8.97083043797525
0.02,-9.94759548659419
0.022,-10.918077420693
0.024,-11.8816632630814
0.026,-12.8377443922884
0.028,-13.7857169269807
0.03,-14.7249821073871
0.032,-15.6549466734881
0.034,-16.5750232397314
0.036,-17.4846306660373
0.038,-18.3831944248595
0.04,-19.2701469640686
0.042,-20.1449280654304
0.044,-21.0069851984518
0.046,-21.8557738693708
0.048,-22.6907579650703
0.05,-23.5114100916989
0.052,-24.3172119077842
0.054,-25.107654451628
0.056,-25.8822384627778
0.058,-26.6404746973701
0.06,-27.3818842371476
0.062,-28.105998791954
0.064,-28.8123609955163
0.066,-29.500524694327
0.068,-30.1700552294442
0.07,-30.8205297110316
0.0720000000000001,-31.4515372854648
0.0740000000000001,-32.0626793948351
0.0760000000000001,-32.6535700286874
0.0780000000000001,-33.2238359678325
0.0800000000000001,-33.7731170200806
0.0820000000000001,-34.3010662477461
0.0840000000000001,-34.807350186781
0.0860000000000001,-35.2916490573981
0.0880000000000001,-35.7536569660506
0.0900000000000001,-36.1930820986408
0.0920000000000001,-36.6096469048367
0.0940000000000001,-37.0030882733783
0.0960000000000001,-37.3731576982645
0.0980000000000001,-37.7196214357146
0.1,-38.0422606518062
0.102,-38.340871560695
0.104,-38.615265553331
0.106,-38.865269316587
0.108,-39.0907249427277
0.11,-39.2914900291476
0.112,-39.4674377683147
0.114,-39.6184570278661
0.116,-39.7444524208003
0.118,-39.8453443657269
0.12,-39.9210691371309
0.122,-39.9715789056236
0.124,-39.9968417681526
0.126,-39.9968417681526
0.128,-39.9715789056236
0.13,-39.9210691371309
0.132,-39.8453443657269
0.134,-39.7444524208003
0.136,-39.618457027866
0.138,-39.4674377683147
0.14,-39.2914900291475
0.142,-39.0907249427277
0.144,-38.8652693165869
0.146,-38.6152655533309
0.148,-38.340871560695
0.15,-38.0422606518061
0.152,-37.7196214357146
0.154,-37.3731576982645
0.156,-37.0030882733783
0.158,-36.6096469048367
0.16,-36.1930820986408
0.162,-35.7536569660505
0.164,-35.2916490573981
0.166,-34.807350186781
0.168,-34.3010662477461
0.17,-33.7731170200806
0.172,-33.2238359678325
0.174,-32.6535700286873
0.176,-32.062679394835
0.178,-31.4515372854647
0.18,-30.8205297110315
0.182,-30.1700552294441
0.184,-29.5005246943269
0.186,-28.8123609955162
0.188,-28.1059987919539
0.19,-27.3818842371475
0.192,-26.64047469737
0.194,-25.8822384627777
0.196,-25.107654451628
0.198,-24.3172119077842
0.2,-23.5114100916989
0.202,-22.6907579650702
0.204,-21.8557738693707
0.206,-21.0069851984518
0.208,-20.1449280654304
0.21,-19.2701469640685
0.212,-18.3831944248594
0.214,-17.4846306660373
0.216,-16.5750232397313
0.218,-15.654946673488
0.22,-14.724982107387
0.222,-13.7857169269806
0.224,-12.8377443922883
0.226,-11.8816632630813
0.228,-10.9180774206929
0.23,-9.94759548659411
0.232,-8.97083043797517
0.234,-7.9883992205762
0.236,-7.00092235901095
0.238,-6.0090235648302
0.24,-5.01332934257208
0.242,-4.01446859404851
0.244,-3.01307222111721
0.246,-2.0097727271907
0.248,-1.00520381773341
0.25,8.39192547734231e-14
0.252,1.00520381773357
0.254,2.00977272719087
0.256,3.01307222111738
0.258,4.01446859404868
0.26,5.01332934257226
0.262,6.00902356483036
0.264,7.00092235901113
0.266,7.98839922057636
0.268,8.97083043797533
0.27,9.94759548659427
0.272,10.9180774206931
0.274,11.8816632630815
0.276,12.8377443922885
0.278,13.7857169269808
0.28,14.7249821073872
0.282,15.6549466734882
0.284,16.5750232397314
0.286,17.4846306660374
0.288,18.3831944248596
0.29,19.2701469640687
0.292,20.1449280654305
0.294,21.0069851984519
0.296,21.8557738693709
0.298,22.6907579650703
0.3,23.511410091699
0.302,24.3172119077843
0.304,25.1076544516281
0.306,25.8822384627779
0.308,26.6404746973701
0.31,27.3818842371476
0.312,28.105998791954
0.314,28.8123609955164
0.316,29.500524694327
0.318,30.1700552294442
0.32,30.8205297110316
0.322,31.4515372854648
0.324,32.0626793948351
0.326,32.6535700286874
0.328,33.2238359678326
0.33,33.7731170200807
0.332,34.3010662477462
0.334,34.8073501867811
0.336,35.2916490573982
0.338,35.7536569660506
0.34,36.1930820986408
0.342,36.6096469048367
0.344,37.0030882733784
0.346,37.3731576982645
0.348,37.7196214357146
0.35,38.0422606518062
0.352,38.3408715606951
0.354,38.615265553331
0.356,38.865269316587
0.358,39.0907249427278
0.36,39.2914900291476
0.362,39.4674377683147
0.364,39.6184570278661
0.366,39.7444524208004
0.368,39.8453443657269
0.37,39.9210691371309
0.372,39.9715789056236
0.374,39.9968417681526
0.376,39.9968417681526
0.378,39.9715789056236
0.38,39.9210691371309
0.382,39.8453443657269
0.384,39.7444524208003
0.386,39.618457027866
0.388,39.4674377683147
0.39,39.2914900291475
0.392,39.0907249427277
0.394,38.8652693165869
0.396,38.6152655533309
0.398,38.340871560695
0.4,38.0422606518061
0.402,37.7196214357145
0.404,37.3731576982644
0.406,37.0030882733783
0.408,36.6096469048367
0.41,36.1930820986407
0.412,35.7536569660505
0.414,35.2916490573981
0.416,34.8073501867809
0.418,34.301066247746
0.42,33.7731170200805
0.422,33.2238359678324
0.424,32.6535700286873
0.426,32.062679394835
0.428,31.4515372854647
0.43,30.8205297110315
0.432,30.170055229444
0.434,29.5005246943268
0.436,28.8123609955162
0.438,28.1059987919539
0.44,27.3818842371474
0.442,26.6404746973699
0.444,25.8822384627776
0.446,25.1076544516279
0.448,24.3172119077841
0.45,23.5114100916988
0.452,22.6907579650701
0.454,21.8557738693706
0.456,21.0069851984517
0.458,20.1449280654303
0.46,19.2701469640685
0.462,18.3831944248594
0.464,17.4846306660372
0.466,16.5750232397312
0.468,15.6549466734879
0.47,14.7249821073869
0.472,13.7857169269805
0.474,12.8377443922882
0.476,11.8816632630812
0.478,10.9180774206928
0.48,9.94759548659401
0.482,8.97083043797509
0.484,7.98839922057611
0.486,7.00092235901086
0.488,6.0090235648301
0.49,5.01332934257197
0.492,4.01446859404843
0.494,3.01307222111713
0.496,2.0097727271906
0.498,1.0052038177333
0.5,-1.67838509546846e-13
0.502,-1.00520381773364
0.504,-2.00977272719093
0.506,-3.01307222111747
0.508,-4.01446859404876
0.51,-5.01332934257234
0.512,-6.00902356483043
0.514,-7.0009223590112
0.516,-7.98839922057644
0.518,-8.97083043797542
0.52,-9.94759548659437
0.522,-10.9180774206932
0.524,-11.8816632630816
0.526,-12.8377443922885
