time,Ft
0,0
0.002,-0.279250411918462
0.004,-0.558487213565811
0.006,-0.837696795334278
0.008,-1.11686554894276
0.01,-1.39597986810004
0.012,-1.67502614916799
0.014,-1.95399079182453
0.016,-2.23286019972655
0.018,-2.51162078117253
0.02,-2.79025894976501
0.022,-3.06876112507275
0.024,-3.34711373329262
0.026,-3.62530320791121
0.028,-3.90331599036598
0.03,-4.18113853070614
0.032,-4.45875728825302
0.034,-4.73615873226004
0.036,-5.01332934257217
0.038,-5.2902556102849
0.04,-5.56692403840262
0.042,-5.84332114249647
0.044,-6.11943345136153
0.046,-6.3952475076734
0.048,-6.67074986864409
0.05,-6.94592710667722
0.052,-7.2207658100224
0.054,-7.49525258342899
0.056,-7.76937404879888
0.058,-8.04311684583859
0.06,-8.31646763271038
0.062,-8.58941308668253
0.064,-8.8619399047787
0.066,-9.13403480442624
0.068,-9.40568452410361
0.07,-9.67687582398672
0.0720000000000001,-9.9475954865942
0.0740000000000001,-10.2178303174316
0.0760000000000001,-10.4875671456346
0.0780000000000001,-10.7567928246106
0.0800000000000001,-11.02549423268
0.0820000000000001,-11.2936582737151
0.0840000000000001,-11.5612718777789
0.0860000000000001,-11.8283220017619
0.0880000000000001,-12.0947956300178
0.0900000000000001,-12.3606797749979
0.0920000000000001,-12.6259614778841
0.0940000000000001,-12.8906278092205
0.0960000000000001,-13.1546658695433
0.0980000000000001,-13.4180627900102
0.1,-13.6808057330268
0.102,-13.9428818928726
0.104,-14.2042784963255
0.106,-14.4649828032837
0.108,-14.7249821073871
0.11,-14.9842637366365
0.112,-15.242815054011
0.114,-15.5006234580841
0.116,-15.7576763836381
0.118,-16.0139613022758
0.12,-16.269465723032
0.122,-16.5241771929817
0.124,-16.7780832978471
0.126,-17.0311716626029
0.128,-17.2834299520793
0.13,-17.5348458715631
0.132,-17.7854071673971
0.134,-18.0351016275772
0.136,-18.2839170823478
0.138,-18.5318414047945
0.14,-18.7788625114356
0.142,-19.024968362811
0.144,-19.2701469640686
0.146,-19.5143863655493
0.148,-19.7576746633693
0.15,-20
0.152,-20.2413505648466
0.154,-20.4817145948229
0.156,-20.7210803749252
0.158,-20.9594362388032
0.16,-21.1967705693282
0.162,-21.4330717991599
0.164,-21.6683284113096
0.166,-21.902528939702
0.168,-22.1356619697338
0.17,-22.3677161388299
0.172,-22.5986801369975
0.174,-22.8285427073773
0.176,-23.0572926467917
0.178,-23.2849188062916
