time,Ft
0,0
0.002,-2.00977272719078
0.004,-4.0144685940486
0.006,-6.00902356483028
0.008,-7.98839922057628
0.01,-9.94759548659419
0.012,-11.8816632630814
0.014,-13.7857169269807
0.016,-15.6549466734881
0.018,-17.4846306660373
0.02,-19.2701469640686
0.022,-21.0069851984518
0.024,-22.6907579650703
0.026,-24.3172119077842
0.028,-25.8822384627778
0.03,-27.3818842371476
0.032,-28.8123609955163
0.034,-30.1700552294442
0.036,-31.4515372854648
0.038,-32.6535700286874
0.04,-33.7731170200806
0.042,-34.807350186781
0.044,-35.7536569660506
0.046,-36.6096469048367
0.048,-37.3731576982645
0.05,-38.0422606518062
0.052,-38.615265553331
0.054,-39.0907249427277
0.056,-39.4674377683147
0.058,-39.7444524208003
0.06,-39.9210691371309
0.062,-39.9968417681526
0.064,-39.9715789056236
0.066,-39.8453443657269
0.068,-39.618457027866
0.07,-39.2914900291475
0.0720000000000001,-38.8652693165869
0.0740000000000001,-38.340871560695
0.0760000000000001,-37.7196214357146
0.0780000000000001,-37.0030882733783
0.0800000000000001,-36.1930820986408
0.0820000000000001,-35.2916490573981
0.0840000000000001,-34.3010662477461
0.0860000000000001,-33.2238359678325
0.0880000000000001,-32.062679394835
0.0900000000000001,-30.8205297110315
0.0920000000000001,-29.5005246943269
0.0940000000000001,-28.1059987919539
0.0960000000000001,-26.64047469737
0.0980000000000001,-25.107654451628
0.1,-23.5114100916989
0.102,-21.8557738693707
0.104,-20.1449280654304
0.106,-18.3831944248594
0.108,-16.5750232397313
0.11,-14.724982107387
0.112,-12.8377443922883
0.114,-10.9180774206929
0.116,-8.97083043797517
0.118,-7.00092235901095
0.12,-5.01332934257208
0.122,-3.01307222111721
0.124,-1.00520381773341
0.126,1.00520381773357
0.128,3.01307222111738
0.13,5.01332934257226
0.132,7.00092235901113
0.134,8.97083043797533
0.136,10.9180774206931
0.138,12.8377443922885
0.14,14.7249821073872
0.142,16.5750232397314
0.144,18.3831944248596
