time,Ft
0,0
0.002,-0.698109016957264
0.004,-1.39608193617844
0.006,-2.09378268645998
0.008,-2.79107524965819
0.01,-3.48782368720627
0.012,-4.18389216661577
0.014,-4.87914498795747
0.016,-5.57344661031627
0.018,-6.26666167821521
0.02,-6.95865504800327
0.022,-7.64929181420191
0.024,-8.33843733580512
0.026,-9.025957262528
0.028,-9.7117175609986
0.03,-10.395584540888
0.032,-11.0774248809734
0.034,-11.7571056551295
0.036,-12.4344943582427
0.038,-13.1094589320432
0.04,-13.78186779085
0.042,-14.4515898472236
0.044,-15.1184945375222
0.046,-15.7824518473551
0.048,-16.4433323369292
0.05,-17.1010071662834
0.052,-17.7553481204069
0.054,-18.4062276342339
0.056,-19.0535188175137
0.058,-19.6970954795476
0.06,-20.33683215379
0.062,-20.9726041223089
0.064,-21.6042874400991
0.066,-22.2317589592464
0.068,-22.8548963529347
0.07,-23.4735781392946
0.0720000000000001,-24.0876837050858
0.0740000000000001,-24.6970933292116
0.0760000000000001,-25.3016882060582
0.0780000000000001,-25.9013504686565
0.0800000000000001,-26.4959632116603
0.0820000000000001,-27.085410514137
0.0840000000000001,-27.6695774621672
0.0860000000000001,-28.2483501712469
0.0880000000000001,-28.8216158084897
0.0900000000000001,-29.3892626146237
0.0920000000000001,-29.9511799257793
0.0940000000000001,-30.5072581950634
0.0960000000000001,-31.0573890139155
0.0980000000000001,-31.6014651332426
0.1,-32.139380484327
0.102,-32.6710301995053
0.104,-33.1963106326121
0.106,-33.7151193791862
0.108,-34.2273552964345
0.11,-34.7329185229499
0.112,-35.2317104981798
0.114,-35.7236339816402
0.116,-36.2085930718734
0.118,-36.6864932251438
0.12,-37.1572412738697
0.122,-37.6207454447862
0.124,-38.0769153768369
0.126,-38.5256621387895
0.128,-38.9668982465737
0.13,-39.4005376803361
0.132,-39.8264959012098
0.134,-40.2446898677957
0.136,-40.6550380523514
0.138,-41.0574604566852
0.14,-41.4518786277521
0.142,-41.8382156729481
0.144,-42.2163962751008
0.146,-42.5863467071524
0.148,-42.9479948465332
0.15,-43.301270189222
0.152,-43.6461038634905
0.154,-43.9824286433308
0.156,-44.3101789615608
0.158,-44.6292909226063
0.16,-44.9397023149584
0.162,-45.241352623301
0.164,-45.5341830403089
0.166,-45.818136478112
0.168,-46.093157579425
0.17,-46.3591927283394
0.172,-46.6161900607756
0.174,-46.8640994745946
0.176,-47.1028726393649
0.178,-47.3324630057848
0.18,-47.5528258147577
0.182,-47.7639181061172
0.184,-47.9656987270029
0.186,-48.1581283398829
0.188,-48.341169430223
0.19,-48.5147863137998
0.192,-48.678945143658
0.194,-48.8336139167084
0.196,-48.9787624799672
0.198,-49.1143625364344
0.2,-49.2403876506104
0.202,-49.3568132536494
0.204,-49.4636166481494
0.206,-49.5607770125771
0.208,-49.6482754053269
0.21,-49.7260947684137
0.212,-49.7942199307985
0.214,-49.852637611346
0.216,-49.9013364214136
0.218,-49.9403068670717
0.22,-49.9695413509548
0.222,-49.9890341737423
0.224,-49.9987815352697
0.226,-49.9987815352697
0.228,-49.9890341737423
0.23,-49.9695413509548
0.232,-49.9403068670717
0.234,-49.9013364214136
0.236,-49.852637611346
0.238,-49.7942199307985
0.24,-49.7260947684137
0.242,-49.6482754053268
0.244,-49.5607770125771
0.246,-49.4636166481494
0.248,-49.3568132536494
0.25,-49.2403876506104
0.252,-49.1143625364344
0.254,-48.9787624799672
0.256,-48.8336139167084
0.258,-48.678945143658
0.26,-48.5147863137998
0.262,-48.341169430223
0.264,-48.1581283398829
0.266,-47.9656987270029
0.268,-47.7639181061172
0.27,-47.5528258147577
0.272,-47.3324630057848
0.274,-47.1028726393648
0.276,-46.8640994745946
0.278,-46.6161900607756
0.28,-46.3591927283393
0.282,-46.093157579425
0.284,-45.8181364781119
0.286,-45.5341830403088
0.288,-45.2413526233009
0.29,-44.9397023149583
0.292,-44.6292909226062
0.294,-44.3101789615607
0.296,-43.9824286433308
0.298,-43.6461038634904
0.3,-43.3012701892219
0.302,-42.9479948465332
0.304,-42.5863467071523
0.306,-42.2163962751007
0.308,-41.838215672948
0.31,-41.451878627752
0.312,-41.0574604566851
0.314,-40.6550380523513
0.316,-40.2446898677957
0.318,-39.8264959012098
0.32,-39.400537680336
0.322,-38.9668982465736
0.324,-38.5256621387894
0.326,-38.0769153768368
0.328,-37.6207454447862
0.33,-37.1572412738697
0.332,-36.6864932251438
0.334,-36.2085930718733
0.336,-35.7236339816401
0.338,-35.2317104981797
0.34,-34.7329185229498
0.342,-34.2273552964344
0.344,-33.7151193791861
0.346,-33.196310632612
0.348,-32.6710301995052
0.35,-32.1393804843269
0.352,-31.6014651332425
0.354,-31.0573890139154
0.356,-30.5072581950633
0.358,-29.9511799257792
0.36,-29.3892626146236
0.362,-28.8216158084896
0.364,-28.2483501712468
0.366,-27.6695774621671
0.368,-27.0854105141369
0.37,-26.4959632116602
0.372,-25.9013504686564
0.374,-25.3016882060581
0.376,-24.6970933292115
0.378,-24.0876837050857
0.38,-23.4735781392944
0.382,-22.8548963529346
0.384,-22.2317589592463
0.386,-21.604287440099
0.388,-20.9726041223087
0.39,-20.3368321537899
0.392,-19.6970954795474
