time,Ft
0,0
0.002,-0.279243606782905
0.004,-0.558432774471378
0.006,-0.837513074583993
0.008,-1.11643009986328
0.01,-1.39512947488251
0.012,-1.67355686664631
0.014,-1.95165799518299
0.016,-2.22937864412651
0.018,-2.50666467128609
0.02,-2.78346201920131
0.022,-3.05971672568076
0.024,-3.33537493432205
0.026,-3.6103829050112
0.028,-3.88468702439944
0.03,-4.15823381635519
0.032,-4.43096995238935
0.034,-4.7028422620518
0.036,-4.9737977432971
0.038,-5.2437835728173
0.04,-5.51274711633999
0.042,-5.78063593888944
0.044,-6.04739781500889
0.046,-6.31298073894205
0.048,-6.57733293477167
0.05,-6.84040286651338
0.052,-7.10213924816275
0.054,-7.36249105369357
0.056,-7.62140752700549
0.058,-7.87883819181903
0.06,-8.13473286151601
0.062,-8.38904164892355
0.064,-8.64171497603965
0.066,-8.89270358369856
0.068,-9.14195854117389
0.07,-9.38943125571782
0.0720000000000001,-9.63507348203431
0.0740000000000001,-9.87883733168463
0.0760000000000001,-10.1206752824233
0.0780000000000001,-10.3605401874626
0.0800000000000001,-10.5983852846641
0.0820000000000001,-10.8341642056548
0.0840000000000001,-11.0678309848669
0.0860000000000001,-11.2993400684988
0.0880000000000001,-11.5286463233959
0.0900000000000001,-11.7557050458495
0.0920000000000001,-11.9804719703117
0.0940000000000001,-12.2029032780254
0.0960000000000001,-12.4229556055662
0.0980000000000001,-12.640586053297
0.1,-12.8557521937308
0.102,-13.0684120798021
0.104,-13.2785242530448
0.106,-13.4860477516745
0.108,-13.6909421185738
0.11,-13.89316740918
0.112,-14.0926841992719
0.114,-14.2894535926561
0.116,-14.4834372287494
0.118,-14.6745972900575
0.12,-14.8628965095479
0.122,-15.0482981779145
0.124,-15.2307661507347
0.126,-15.4102648555158
0.128,-15.5867592986295
0.13,-15.7602150721344
0.132,-15.9305983604839
0.134,-16.0978759471183
0.136,-16.2620152209406
0.138,-16.4229841826741
0.14,-16.5807514511008
0.142,-16.7352862691792
0.144,-16.8865585100403
0.146,-17.034538682861
0.148,-17.1791979386133
0.15,-17.3205080756888
0.152,-17.4584415453962
0.154,-17.5929714573323
0.156,-17.7240715846243
0.158,-17.8517163690425
0.16,-17.9758809259833
0.162,-18.0965410493204
0.164,-18.2136732161235
0.166,-18.3272545912448
0.168,-18.43726303177
0.17,-18.5436770913358
0.172,-18.6464760243102
0.174,-18.7456397898378
0.176,-18.8411490557459
0.178,-18.9329852023139
0.18,-19.0211303259031
0.182,-19.1055672424469
0.184,-19.1862794908012
0.186,-19.2632513359532
0.188,-19.3364677720892
0.19,-19.4059145255199
0.192,-19.4715780574632
0.194,-19.5334455666834
0.196,-19.5915049919869
0.198,-19.6457450145738
0.2,-19.6961550602442
0.202,-19.7427253014598
0.204,-19.7854466592598
0.206,-19.8243108050308
0.208,-19.8593101621307
0.21,-19.8904379073655
0.212,-19.9176879723194
0.214,-19.9410550445384
0.216,-19.9605345685654
0.218,-19.9761227468287
0.22,-19.9878165403819
0.222,-19.9956136694969
0.224,-19.9995126141079
0.226,-19.9995126141079
0.228,-19.9956136694969
0.23,-19.9878165403819
0.232,-19.9761227468287
0.234,-19.9605345685654
0.236,-19.9410550445384
0.238,-19.9176879723194
0.24,-19.8904379073655
0.242,-19.8593101621307
0.244,-19.8243108050308
0.246,-19.7854466592598
0.248,-19.7427253014598
0.25,-19.6961550602442
0.252,-19.6457450145738
0.254,-19.5915049919869
0.256,-19.5334455666834
0.258,-19.4715780574632
0.26,-19.4059145255199
0.262,-19.3364677720892
0.264,-19.2632513359532
0.266,-19.1862794908011
0.268,-19.1055672424469
0.27,-19.0211303259031
0.272,-18.9329852023139
0.274,-18.8411490557459
0.276,-18.7456397898378
0.278,-18.6464760243102
0.28,-18.5436770913357
0.282,-18.43726303177
0.284,-18.3272545912448
0.286,-18.2136732161235
0.288,-18.0965410493204
0.29,-17.9758809259833
0.292,-17.8517163690425
0.294,-17.7240715846243
0.296,-17.5929714573323
0.298,-17.4584415453962
0.3,-17.3205080756888
0.302,-17.1791979386133
0.304,-17.0345386828609
0.306,-16.8865585100403
0.308,-16.7352862691792
0.31,-16.5807514511008
0.312,-16.4229841826741
0.314,-16.2620152209405
0.316,-16.0978759471183
0.318,-15.9305983604839
0.32,-15.7602150721344
0.322,-15.5867592986295
0.324,-15.4102648555158
0.326,-15.2307661507347
0.328,-15.0482981779145
0.33,-14.8628965095479
0.332,-14.6745972900575
0.334,-14.4834372287493
0.336,-14.289453592656
0.338,-14.0926841992719
0.34,-13.8931674091799
0.342,-13.6909421185737
0.344,-13.4860477516744
0.346,-13.2785242530448
0.348,-13.0684120798021
0.35,-12.8557521937308
0.352,-12.640586053297
0.354,-12.4229556055662
0.356,-12.2029032780253
0.358,-11.9804719703117
0.36,-11.7557050458494
0.362,-11.5286463233958
0.364,-11.2993400684987
0.366,-11.0678309848668
0.368,-10.8341642056548
0.37,-10.5983852846641
0.372,-10.3605401874626
0.374,-10.1206752824232
0.376,-9.87883733168458
0.378,-9.63507348203427
0.38,-9.38943125571777
0.382,-9.14195854117384
0.384,-8.89270358369851
0.386,-8.6417149760396
0.388,-8.3890416489235
0.39,-8.13473286151596
0.392,-7.87883819181898
0.394,-7.62140752700544
0.396,-7.36249105369351
0.398,-7.10213924816269
0.4,-6.84040286651333
0.402,-6.57733293477162
0.404,-6.312980738942
0.406,-6.04739781500884
0.408,-5.78063593888938
0.41,-5.51274711633993
0.412,-5.24378357281724
0.414,-4.97379774329704
0.416,-4.70284226205175
0.418,-4.43096995238929
0.42,-4.15823381635513
0.422,-3.88468702439939
0.424,-3.61038290501115
0.426,-3.33537493432199
0.428,-3.05971672568071
0.43,-2.78346201920125
0.432,-2.50666467128603
0.434,-2.22937864412645
0.436,-1.95165799518294
0.438,-1.67355686664626
0.44,-1.39512947488246
0.442,-1.11643009986323
0.444,-0.837513074583943
0.446,-0.558432774471328
0.448,-0.279243606782855
0.45,5.08414115837128e-14
0.452,0.279243606782957
0.454,0.558432774471429
0.456,0.837513074584044
0.458,1.11643009986333
0.46,1.39512947488256
0.462,1.67355686664636
0.464,1.95165799518304
0.466,2.22937864412656
0.468,2.50666467128614
0.47,2.78346201920136
0.472,3.05971672568082
0.474,3.3353749343221
0.476,3.61038290501125
0.478,3.88468702439949
0.48,4.15823381635524
0.482,4.4309699523894
0.484,4.70284226205186
0.486,4.97379774329715
0.488,5.24378357281735
0.49,5.51274711634004
0.492,5.78063593888949
0.494,6.04739781500895
0.496,6.31298073894211
0.498,6.57733293477172
0.5,6.84040286651342
0.502,7.10213924816279
0.504,7.36249105369361
0.506,7.62140752700553
0.508,7.87883819181907
0.51,8.13473286151605
0.512,8.38904164892359
0.514,8.6417149760397
0.516,8.8927035836986
0.518,9.14195854117393
0.52,9.38943125571786
0.522,9.63507348203435
0.524,9.87883733168467
0.526,10.1206752824233
0.528,10.3605401874627
0.53,10.5983852846641
