time,Ft
0,0
0.002,-0.0698126029796155
0.004,-0.139621803391453
0.006,-0.20942419883357
0.008,-0.279216387235689
0.01,-0.34899496702501
0.012,-0.418756537291996
0.014,-0.488497697956133
0.016,-0.558215049931638
0.018,-0.627905195293134
0.02,-0.697564737441253
0.022,-0.767190281268187
0.024,-0.836778433323155
0.026,-0.906325801977802
0.028,-0.975828997591495
0.03,-1.04528463267654
0.032,-1.11468932206326
0.034,-1.18403968306501
0.036,-1.25333233564304
0.038,-1.32256390257123
0.04,-1.39173100960066
0.042,-1.46083028562412
0.044,-1.52985836284038
0.046,-1.59881187691835
0.048,-1.66768746716102
0.05,-1.7364817766693
0.052,-1.8051914525056
0.054,-1.87381314585725
0.056,-1.94234351219972
0.058,-2.01077921145965
0.06,-2.07911690817759
0.062,-2.14735327167063
0.064,-2.21548497619467
0.066,-2.28350870110656
0.068,-2.3514211310259
0.07,-2.41921895599668
0.0720000000000001,-2.48689887164855
0.0740000000000001,-2.55445757935791
0.0760000000000001,-2.62189178640865
0.0780000000000001,-2.68919820615266
0.0800000000000001,-2.75637355816999
0.0820000000000001,-2.82341456842877
0.0840000000000001,-2.89031796944472
0.0860000000000001,-2.95708050044047
0.0880000000000001,-3.02369890750445
0.0900000000000001,-3.09016994374948
0.0920000000000001,-3.15649036947103
0.0940000000000001,-3.22265695230511
0.0960000000000001,-3.28866646738583
0.0980000000000001,-3.35451569750255
0.1,-3.42020143325669
0.102,-3.48572047321815
0.104,-3.55106962408137
0.106,-3.61624570082093
0.108,-3.68124552684678
0.11,-3.74606593415912
0.112,-3.81070376350274
0.114,-3.87515586452103
0.116,-3.93941909590951
0.118,-4.00349032556895
0.12,-4.06736643075801
0.122,-4.13104429824542
0.124,-4.19452082446177
0.126,-4.25779291565073
0.128,-4.32085748801983
0.13,-4.38371146789078
0.132,-4.44635179184928
0.134,-4.50877540689431
0.136,-4.57097927058694
0.138,-4.63296035119862
0.14,-4.69471562785891
0.142,-4.75624209070275
0.144,-4.81753674101716
0.146,-4.87859659138733
0.148,-4.93941866584231
0.15,-5
0.152,-5.06033764121164
0.154,-5.12042864870572
0.156,-5.18027009373131
0.158,-5.2398590597008
0.16,-5.29919264233205
0.162,-5.35826794978997
0.164,-5.4170821028274
0.166,-5.4756322349255
0.168,-5.53391549243344
0.17,-5.59192903470747
