time,Ft
0,0
0.002,-0.104717841162458
0.004,-0.20942419883357
0.006,-0.314107590781283
0.008,-0.418756537291996
0.01,-0.523359562429438
0.012,-0.627905195293134
0.014,-0.732381971276317
0.016,-0.836778433323155
0.018,-0.941083133185143
0.02,-1.04528463267653
0.022,-1.14937150492867
0.024,-1.25333233564304
0.026,-1.35715572434304
0.028,-1.46083028562412
0.03,-1.56434465040231
0.032,-1.66768746716102
0.034,-1.77084740319583
0.036,-1.87381314585725
0.038,-1.97657340379126
0.04,-2.07911690817759
0.042,-2.18143241396543
0.044,-2.28350870110656
0.046,-2.38533457578581
0.048,-2.48689887164855
0.05,-2.58819045102521
0.052,-2.68919820615266
0.054,-2.78991106039229
0.056,-2.89031796944472
0.058,-2.99040792256087
0.06,-3.09016994374948
0.062,-3.1895930929807
0.064,-3.28866646738583
0.066,-3.38737920245292
0.068,-3.48572047321815
0.07,-3.58367949545301
0.0720000000000001,-3.68124552684678
0.0740000000000001,-3.77840786818467
0.0760000000000001,-3.87515586452103
0.0780000000000001,-3.97147890634781
0.0800000000000001,-4.06736643075801
0.0820000000000001,-4.16280792260402
0.0840000000000001,-4.25779291565073
0.0860000000000001,-4.35231099372328
0.0880000000000001,-4.44635179184928
0.0900000000000001,-4.53990499739547
0.0920000000000001,-4.63296035119862
0.0940000000000001,-4.72550764869054
0.0960000000000001,-4.81753674101716
0.0980000000000001,-4.90903753615141
0.1,-5
0.102,-5.09041415750372
0.104,-5.18027009373131
0.106,-5.26955795496678
0.108,-5.35826794978997
0.11,-5.44639035015027
0.112,-5.53391549243344
0.114,-5.62083377852131
0.116,-5.70713567684432
0.118,-5.79281172342679
0.12,-5.87785252292474
0.122,-5.96224874965616
0.124,-6.04599114862375
0.126,-6.12907053652977
0.128,-6.21147780278311
0.13,-6.29320391049838
0.132,-6.3742398974869
0.134,-6.45457687723951
0.136,-6.53420603990106
0.138,-6.61311865323652
0.14,-6.69130606358859
0.142,-6.76875969682661
0.144,-6.84547105928689
0.146,-6.92143173870407
0.148,-6.99663340513366
0.15,-7.07106781186548
0.152,-7.14472679632804
0.154,-7.21760228098363
0.156,-7.28968627421412
0.158,-7.36097087119735
0.16,-7.43144825477395
0.162,-7.5011106963046
0.164,-7.56995055651757
0.166,-7.63796028634643
0.168,-7.7051324277579
0.17,-7.77145961456971
0.172,-7.8369345732584
0.174,-7.90155012375691
0.176,-7.96529918024197
0.178,-8.02817475191115
0.18,-8.09016994374948
0.182,-8.15127795728555
0.184,-8.21149209133704
0.186,-8.27080574274562
0.188,-8.329212407101
0.19,-8.38670567945424
0.192,-8.44327925502015
0.194,-8.49892692986864
0.196,-8.55364260160507
0.198,-8.60742027003944
0.2,-8.66025403784439
0.202,-8.7121381112019
0.204,-8.76306680043864
0.206,-8.81303452064993
0.208,-8.86203579231215
0.21,-8.91006524188368
0.212,-8.95711760239413
0.214,-9.00318771402194
0.216,-9.0482705246602
0.218,-9.09236109047069
0.22,-9.13545457642601
0.222,-9.17754625683981
0.224,-9.21863151588501
0.226,-9.25870584809995
0.228,-9.29776485888252
0.23,-9.33580426497202
0.232,-9.37281989491892
0.234,-9.40880768954226
0.236,-9.44376370237481
0.238,-9.47768410009586
0.24,-9.51056516295154
0.242,-9.54240328516277
0.244,-9.57319497532067
0.246,-9.60293685676943
0.248,-9.63162566797658
0.25,-9.65925826289068
0.252,-9.68583161128631
0.254,-9.71134279909636
0.256,-9.73578902873161
0.258,-9.75916761938748
0.26,-9.78147600733806
0.262,-9.80271174621722
0.264,-9.82287250728689
0.266,-9.84195607969242
0.268,-9.85996037070505
0.27,-9.87688340595138
0.272,-9.89272332962988
0.274,-9.90747840471444
0.276,-9.92114701314478
0.278,-9.93372765600397
0.28,-9.94521895368273
0.282,-9.9556196460308
0.284,-9.96492859249505
0.286,-9.97314477224458
0.288,-9.98026728428272
0.29,-9.98629534754574
0.292,-9.99122830098858
0.294,-9.99506560365732
0.296,-9.99780683474846
0.298,-9.99945169365512
0.3,-10
0.302,-9.99945169365512
0.304,-9.99780683474846
0.306,-9.99506560365731
0.308,-9.99122830098858
0.31,-9.98629534754574
0.312,-9.98026728428271
0.314,-9.97314477224458
0.316,-9.96492859249504
0.318,-9.9556196460308
0.32,-9.94521895368273
0.322,-9.93372765600396
0.324,-9.92114701314478
0.326,-9.90747840471444
0.328,-9.89272332962988
0.33,-9.87688340595138
0.332,-9.85996037070505
0.334,-9.84195607969242
0.336,-9.82287250728688
0.338,-9.80271174621721
0.34,-9.78147600733805
0.342,-9.75916761938747
0.344,-9.7357890287316
0.346,-9.71134279909636
0.348,-9.68583161128631
0.35,-9.65925826289068
0.352,-9.63162566797658
0.354,-9.60293685676943
0.356,-9.57319497532067
0.358,-9.54240328516276
0.36,-9.51056516295153
0.362,-9.47768410009585
0.364,-9.44376370237481
0.366,-9.40880768954225
0.368,-9.37281989491891
0.37,-9.33580426497201
0.372,-9.29776485888251
0.374,-9.25870584809994
0.376,-9.218631515885
0.378,-9.1775462568398
0.38,-9.135454576426
0.382,-9.09236109047068
0.384,-9.04827052466019
0.386,-9.00318771402193
0.388,-8.95711760239412
0.39,-8.91006524188367
0.392,-8.86203579231214
0.394,-8.81303452064991
0.396,-8.76306680043863
0.398,-8.71213811120189
0.4,-8.66025403784438
0.402,-8.60742027003943
0.404,-8.55364260160506
0.406,-8.49892692986863
0.408,-8.44327925502014
0.41,-8.38670567945423
0.412,-8.32921240710099
0.414,-8.27080574274561
0.416,-8.21149209133703
0.418,-8.15127795728553
0.42,-8.09016994374946
0.422,-8.02817475191113
0.424,-7.96529918024195
0.426,-7.90155012375689
0.428,-7.83693457325839
0.43,-7.7714596145697
0.432,-7.70513242775788
0.434,-7.63796028634641
0.436,-7.56995055651755
0.438,-7.50111069630458
0.44,-7.43144825477393
0.442,-7.36097087119733
0.444,-7.2896862742141
0.446,-7.21760228098361
0.448,-7.14472679632802
0.45,-7.07106781186546
0.452,-6.99663340513364
0.454,-6.92143173870406
0.456,-6.84547105928687
0.458,-6.76875969682659
0.46,-6.69130606358857
0.462,-6.61311865323651
0.464,-6.53420603990104
0.466,-6.45457687723949
0.468,-6.37423989748688
0.47,-6.29320391049836
0.472,-6.21147780278309
0.474,-6.12907053652975
0.476,-6.04599114862373
0.478,-5.96224874965614
0.48,-5.87785252292471
0.482,-5.79281172342677
0.484,-5.7071356768443
0.486,-5.62083377852129
0.488,-5.53391549243342
0.49,-5.44639035015025
0.492,-5.35826794978995
0.494,-5.26955795496676
0.496,-5.18027009373128
0.498,-5.0904141575037
0.5,-4.99999999999998
0.502,-4.90903753615139
0.504,-4.81753674101714
0.506,-4.72550764869053
0.508,-4.6329603511986
0.51,-4.53990499739545
0.512,-4.44635179184926
0.514,-4.35231099372326
0.516,-4.25779291565071
0.518,-4.162807922604
0.52,-4.06736643075798
0.522,-3.97147890634779
0.524,-3.87515586452101
0.526,-3.77840786818465
0.528,-3.68124552684676
0.53,-3.58367949545299
0.532,-3.48572047321813
0.534,-3.3873792024529
0.536,-3.28866646738581
0.538,-3.18959309298068
0.54,-3.09016994374945
0.542,-2.99040792256085
0.544,-2.8903179694447
0.546,-2.78991106039227
0.548,-2.68919820615264
0.55,-2.58819045102519
0.552,-2.48689887164853
0.554,-2.38533457578579
0.556,-2.28350870110654
0.558,-2.18143241396541
0.56,-2.07911690817757
0.562,-1.97657340379124
0.564,-1.87381314585722
0.566,-1.77084740319581
0.568,-1.667687467161
0.57,-1.56434465040229
0.572,-1.46083028562409
0.574,-1.35715572434302
0.576,-1.25333233564302
0.578,-1.14937150492864
0.58,-1.04528463267652
0.582,-0.941083133185121
0.584,-0.836778433323135
0.586,-0.732381971276295
0.588,-0.627905195293114
0.59,-0.523359562429416
0.592,-0.418756537291976
0.594,-0.31410759078126
0.596,-0.209424198833549
0.598,-0.104717841162435
0.6,2.09798136933558e-14
0.602,0.104717841162481
0.604,0.209424198833591
0.606,0.314107590781307
0.608,0.418756537292018
0.61,0.523359562429462
0.612,0.627905195293156
0.614,0.732381971276341
0.616,0.836778433323177
0.618,0.941083133185168
0.62,1.04528463267656
0.622,1.14937150492869
0.624,1.25333233564307
0.626,1.35715572434307
0.628,1.46083028562414
0.63,1.56434465040233
0.632,1.66768746716105
0.634,1.77084740319586
0.636,1.87381314585727
0.638,1.97657340379129
0.64,2.07911690817762
0.642,2.18143241396545
0.644,2.28350870110658
0.646,2.38533457578583
0.648,2.48689887164857
0.65,2.58819045102523
0.652,2.68919820615268
0.654,2.78991106039232
0.656,2.89031796944474
0.658,2.99040792256089
0.66,3.0901699437495
0.662,3.18959309298073
0.664,3.28866646738586
0.666,3.38737920245294
0.668,3.48572047321818
0.67,3.58367949545302
0.672,3.6812455268468
0.674,3.77840786818469
0.676,3.87515586452105
0.678,3.97147890634783
0.68,4.06736643075803
0.682,4.16280792260403
0.684,4.25779291565075
0.686,4.3523109937233
0.688000000000001,4.4463517918493
