time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,2.58574787849202e-13,0,2.47330459383064e-13,2.06240367495444e-08,2.30734345704607e-13,3.7529264843315e-08,4.65396560154005e-13,6.69726331502824e-08,2.11541027077325e-13,5.04879617540872e-08,6.95177696783066e-13,1.09788365328212e-07,2.52276369633706e-13,2.75921072929429e-08,9.59412823610089e-13,1.02686901512237e-07,2.17744577867845e-13,-5.39269991789217e-08,8.66097090160778e-13,-2.68957296847477e-08,-6.85228362699543e-13,-2.21437106650913e-07,-1.3402390714026e-12,-3.72752169244012e-07,-4.37826162600956e-12,-4.84697041532515e-07,-9.40291854970157e-12,-1.01244054897554e-06,-1.22923771996832e-11,-7.92220134871662e-07,-2.56049856105414e-11,-1.91472104041069e-06,-1.86977213613758e-11,-9.65566805536314e-07
0.004,0,0,5.94282996847704e-12,0,5.39447436401708e-12,1.40501779023139e-07,4.71140749232443e-12,2.40614989056724e-07,9.99549807716911e-12,3.98635480592104e-07,4.84160234888916e-12,2.32730954407698e-07,1.56363588534008e-11,5.15086094574607e-07,6.01626085721889e-12,-4.79954498886161e-08,1.93421690765237e-11,2.02338302845772e-07,-1.56582615776092e-12,-6.28250149668998e-07,2.94188545415847e-12,-8.36769546691344e-07,-3.78442910613069e-11,-1.49104869763129e-06,-7.23044913240902e-11,-2.83539777440038e-06,-1.20234229824781e-10,-2.51565556220978e-06,-2.48242401746568e-10,-5.8345499547216e-06,-2.31662686733319e-10,-3.43484428472252e-06,-5.20237969418373e-10,-9.53618303957098e-06,-2.96054678702392e-10,-3.84505908309964e-06
0.006,0,0,2.82895675511468e-11,0,2.5580465480534e-11,3.07786354009739e-07,2.2877393728038e-11,4.82902466351938e-07,5.01851217678376e-11,7.03275705513866e-07,2.70459767976152e-11,1.79756177014261e-07,7.49531214551451e-11,4.23389852229217e-07,1.37276965866814e-11,-8.52162806492819e-07,4.64356299913598e-11,-1.19735895040912e-06,-9.32200098089424e-11,-2.46929606920124e-06,-1.67280802122013e-10,-4.62783567252449e-06,-3.63125840846379e-10,-4.42105070369073e-06,-7.33133784298478e-10,-1.00364079761672e-05,-7.85963223735074e-10,-6.36164556861702e-06,-1.74760925388413e-09,-1.72115618081149e-05,-1.22846261170469e-09,-7.88186119846098e-06,-3.11633994333388e-09,-2.5504623197498e-05,-1.44982902106811e-09,-8.51133331463826e-06
0.008,0,0,5.89241275393303e-11,0,5.88239681466343e-11,8.99997305558656e-08,5.83104726502541e-11,-3.16304838510595e-09,1.11700605789329e-10,-3.64339884020643e-07,3.54276942380279e-11,-1.07657417605462e-06,8.27954903309498e-11,-2.37597115918154e-06,-1.31539346070007e-10,-3.08391446168809e-06,-2.554829062897e-10,-6.75609118308987e-06,-6.06769739654392e-10,-5.75965622898469e-06,-1.26547614523229e-09,-1.39965040507522e-05,-1.4756392830867e-09,-8.7367198685459e-06,-3.30914464738856e-09,-2.41832707024676e-05,-2.63812949971939e-09,-1.1572185135125e-05,-6.52883534790902e-09,-3.69186282022659e-05,-3.75145993850971e-09,-1.37373465989355e-05,-1.06124722780201e-08,-5.12267278310349e-05,-4.26947071385002e-09,-1.46074194267745e-05
0.01,0,0,1.28551145582447e-10,0,1.12773854469822e-10,-7.93679672317875e-07,7.18643432160671e-11,-1.70455220689259e-06,7.13886270042017e-11,-3.64198726395658e-06,-2.07139365047438e-10,-4.10670972610808e-06,-4.38834074843201e-10,-9.22699107734346e-06,-8.98931585178691e-10,-7.16553181075865e-06,-1.92802743215501e-09,-1.81494751402009e-05,-2.18909144308875e-09,-1.07482635716959e-05,-5.04094063564711e-09,-3.08037641565297e-05,-4.13507801569295e-09,-1.45651033912121e-05,-1.03434240692599e-08,-4.71997044828699e-05,-6.4952727388709e-09,-1.81366357986685e-05,-1.79609415726033e-08,-6.67843474009008e-05,-8.62930333787219e-09,-2.08272704581527e-05,-2.72123433170038e-08,-8.83175089932183e-05,-9.59873951271405e-09,-2.19040284311478e-05
0.012,0,0,3.02882613833614e-10,0,1.87925489659634e-10,-2.08316195818318e-06,-5.0044517200816e-11,-4.20818106945982e-06,-3.6436501946161e-10,-8.49861144481565e-06,-1.19730647356842e-09,-8.66212440519669e-06,-2.51062883687492e-09,-1.94776316128831e-05,-3.25299425164835e-09,-1.33242521949013e-05,-7.19034731296647e-09,-3.51808431550865e-05,-6.25927163869705e-09,-1.80839239585707e-05,-1.53056854141393e-08,-5.56067066410051e-05,-1.00791145735099e-08,-2.27228323018195e-05,-2.74778412094559e-08,-8.04697713146115e-05,-1.42649892300191e-08,-2.68851356210857e-05,-4.36639453673802e-08,-0.000109037058511249,-1.79133222503035e-08,-3.00181070396395e-05,-6.2648097391264e-08,-0.000139890074528617,-1.9590385663448e-08,-3.12939709748773e-05
0.014,0,0,5.16730481636653e-10,0,1.64387214667631e-10,-3.63081313969063e-06,-5.33106547150802e-10,-7.24060608047443e-06,-1.74059733054497e-09,-1.44354657918504e-05,-3.60170593702305e-09,-1.43424148831677e-05,-7.66066630739062e-09,-3.22511469007354e-05,-8.52856705227446e-09,-2.12490180633491e-05,-1.93280356840119e-08,-5.68324798014711e-05,-1.50352962409815e-08,-2.78500066319137e-05,-3.80986885565441e-08,-8.77862928879709e-05,-2.26247901409225e-08,-3.39510319507954e-05,-6.46446825265336e-08,-0.000124452182455386,-3.03868057507815e-08,-3.91968123352929e-05,-9.84227650778228e-08,-0.000165700799428016,-3.67762634957794e-08,-4.2996717452869e-05,-1.37011957065331e-07,-0.000209683642612633,-3.96121979838669e-08,-4.45006509579772e-05
0.016,0,0,7.41387231544731e-10,0,-5.07392715159307e-11,-5.43796702347765e-06,-1.5958616929522e-09,-1.07967070848538e-05,-4.61298406019009e-09,-2.14356589647736e-05,-8.18803109183608e-09,-2.1119732147539e-05,-1.76482871289295e-08,-4.75140015849192e-05,-1.84358129935968e-08,-3.09489073706352e-05,-4.24546006398138e-08,-8.31288820908054e-05,-3.1569113287846e-08,-4.01577442326136e-05,-8.13359813411311e-08,-0.000127520760951145,-4.63136486622447e-08,-4.84337403512653e-05,-1.34951127863331e-07,-0.000179518442868045,-6.06324619286506e-08,-5.52708163120721e-05,-2.01534397264818e-07,-0.000237361743072897,-7.17385155985692e-08,-6.00003262227325e-05,-2.76257848975229e-07,-0.000298540224575743,-7.63648046975154e-08,-6.17881955186305e-05
0.018,0,0,1.00874336530437e-09,0,-5.51844271828005e-10,-7.62902250324467e-06,-3.58512440545362e-09,-1.51332435231765e-05,-9.9214505158576e-09,-3.00070972963019e-05,-1.63999291147474e-08,-2.94839844855145e-05,-3.55730532342982e-08,-6.62860290770197e-05,-3.58469390466293e-08,-4.28970996136333e-05,-8.31270166671377e-08,-0.000115392804974546,-5.97922624398007e-08,-5.50812235232393e-05,-1.55720856410537e-07,-0.000175905956317603,-8.53925726282438e-08,-6.56340912714959e-05,-2.53275030190382e-07,-0.000245946491004624,-1.09056780914293e-07,-7.40386440857443e-05,-3.71771262133676e-07,-0.000323050972518421,-1.26542201005173e-07,-7.96429920211542e-05,-5.0282307860549e-07,-0.000404048345854291,-1.33485715815784e-07,-8.16923598451051e-05
